row_label_raw,row_label_full,col_0,col_1,Ngày cuối năm > Giá gốcVND,Ngày cuối năm > Dự phòngVND,Ngày cuối năm > Giá trị hợp lýVND,Ngày đầu năm > Giá gốcVND,Ngày đầu năm > Dự phòngVND,Ngày đầu năm > Giá trị hợp lýVND,numeric__col_1,numeric__Ngày cuối năm > Giá gốcVND,numeric__Ngày cuối năm > Dự phòngVND,numeric__Ngày cuối năm > Giá trị hợp lýVND,numeric__Ngày đầu năm > Giá gốcVND,numeric__Ngày đầu năm > Dự phòngVND,numeric__Ngày đầu năm > Giá trị hợp lýVND
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,,,,,,,
Tổng Công ty Cổ phần Viglacera,a) Chứng khoán kinh doanh > Tổng Công ty Cổ phần Viglacera,Tổng Công ty Cổ phần Viglacera,VGC,200.100.000.000,-,200.100.000.000,-,-,-,,200100000000.0,,200100000000.0,,,
Công ty Cổ phần Alphanam,a) Chứng khoán kinh doanh > Công ty Cổ phần Alphanam,Công ty Cổ phần Alphanam,(i),7.243.518.147,5.470.914.063,1.772.604.084,7.243.518.147,5.470.914.063,1.772.604.084,,7243518147.0,5470914063.0,1772604084.0,7243518147.0,5470914063.0,1772604084.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,a) Chứng khoán kinh doanh > Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,PVD,4.555.545.000,1.094.505.000,3.461.040.000,-,-,-,,4555545000.0,1094505000.0,3461040000.0,,,
Công ty Cổ phần Quốc Tế Sơn Hà,a) Chứng khoán kinh doanh > Công ty Cổ phần Quốc Tế Sơn Hà,Công ty Cổ phần Quốc Tế Sơn Hà,SHI,1.963.932.000,84.555.750,1.879.376.250,-,-,-,,1963932000.0,84555750.0,1879376250.0,,,
Công ty Cổ phần Đường Biên Hòa,a) Chứng khoán kinh doanh > Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,BHS,1.894.368.040,474.368.040,1.420.000.000,-,-,-,,1894368040.0,474368040.0,1420000000.0,,,
Công ty Cổ phần Phân lân Nung chảy Văn Điền,a) Chứng khoán kinh doanh > Công ty Cổ phần Phân lân Nung chảy Văn Điền,Công ty Cổ phần Phân lân Nung chảy Văn Điền,VAF,1.762.360.000,-,1.762.360.000,1.762.360.000,-,1.762.360.000,,1762360000.0,,1762360000.0,1762360000.0,,1762360000.0
Ngân hàng TMCP Á Châu,a) Chứng khoán kinh doanh > Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,ACB,130.437.063,-,130.437.063,-,-,-,,130437063.0,,130437063.0,,,
Công ty Cổ phần Chứng khoán phố Wall,a) Chứng khoán kinh doanh > Công ty Cổ phần Chứng khoán phố Wall,Công ty Cổ phần Chứng khoán phố Wall,WSS,-,-,-,9.302.000.000,2.232.480.000,7.069.520.000,,,,,9302000000.0,2232480000.0,7069520000.0
,,,,217.650.160.250,7.124.342.853,210.525.817.397,18.307.878.147,7.703.394.063,10.604.484.084,,217650160250.0,7124342853.0,210525817397.0,18307878147.0,7703394063.0,10604484084.0
