row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,93.029.583.315,-,93.029.583.315,93029583315.0,,93029583315.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,637.283.093.556,-,637.283.093.556,637283093556.0,,637283093556.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,210.525.817.397,-,210.525.817.397,210525817397.0,,210525817397.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,743.950.143.984,743.950.143.984,,743950143984.0,743950143984.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,24.000.000,110.138.000.000,110.162.000.000,24000000.0,110138000000.0,110162000000.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,6.500.000.000,-,6.500.000.000,6500000000.0,,6500000000.0
,,,947.362.494.268,854.088.143.984,1.801.450.638.252,947362494268.0,854088143984.0,1801450638252.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,942.577.741.415,16.630.283.177,959.208.024.592,942577741415.0,16630283177.0,959208024592.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,169.708.708.855,4.967.131.730,174.675.840.585,169708708855.0,4967131730.0,174675840585.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,8.697.322.976,-,8.697.322.976,8697322976.0,,8697322976.0
,,,1.120.983.773.246,21.597.414.907,1.142.581.188.153,1120983773246.0,21597414907.0,1142581188153.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(173.621.278.978),832.490.729.077,658.869.450.099,-173621278978.0,832490729077.0,658869450099.0
,,,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,89.323.013.379,-,89.323.013.379,89323013379.0,,89323013379.0
Phải thu khách hàng và phải thu khác,Tại ngày ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,817.848.333.134,-,817.848.333.134,817848333134.0,,817848333134.0
Đầu tư tài chính dài hạn,Tại ngày ngày đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,274.885.367.074,274.885.367.074,,274885367074.0,274885367074.0
Các khoản ký quỹ,Tại ngày ngày đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,130.200.000,110.105.000.000,110.235.200.000,130200000.0,110105000000.0,110235200000.0
,,,920.556.030.597,384.990.367.074,1.305.546.397.671,920556030597.0,384990367074.0,1305546397671.0
Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,,,
Các khoản vay,Tại ngày ngày đầu năm > Các khoản vay,Các khoản vay,823.432.471.653,19.523.272.817,842.955.744.470,823432471653.0,19523272817.0,842955744470.0
Phải trả người bán và phải trả khác,Tại ngày ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,184.628.456.943,3.176.753.061,187.805.210.004,184628456943.0,3176753061.0,187805210004.0
Chi phí phải trả,Tại ngày ngày đầu năm > Chi phí phải trả,Chi phí phải trả,3.951.438.194,-,3.951.438.194,3951438194.0,,3951438194.0
,,,1.012.012.366.790,22.700.025.878,1.034.712.392.668,1012012366790.0,22700025878.0,1034712392668.0
Chênh lệch thanh khoản thuần,Tại ngày ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(91.456.336.193),362.290.341.196,270.834.005.003,-91456336193.0,362290341196.0,270834005003.0
