row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND129.494.299.518,Số cuối năm > Số có khả năngtrả nợVND129.494.299.518,Số đầu năm > Giá trịVND158.406.225.979,Số đầu năm > Số có khả năngtrả nợVND158.406.225.979,numeric__Số cuối năm > Giá trịVND129.494.299.518,numeric__Số cuối năm > Số có khả năngtrả nợVND129.494.299.518,numeric__Số đầu năm > Giá trịVND158.406.225.979,numeric__Số đầu năm > Số có khả năngtrả nợVND158.406.225.979
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
"Công ty Corning Incorporated, NY,USA","a) Ngắn hạn > Công ty Corning Incorporated, NY,USA","Công ty Corning Incorporated, NY,USA",65.582.068.306,65.582.068.306,65.099.772.423,65.099.772.423,65582068306.0,65582068306.0,65099772423.0,65099772423.0
Công ty TNHH MTV Cadivi Đồng Nai,a) Ngắn hạn > Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,-,-,23.736.287.344,23.736.287.344,,,23736287344.0,23736287344.0
Công ty TNHH Teijin Aramid Asia,a) Ngắn hạn > Công ty TNHH Teijin Aramid Asia,Công ty TNHH Teijin Aramid Asia,8.113.458.328,8.113.458.328,-,-,8113458328.0,8113458328.0,,
Công ty TNHH Borouge,a) Ngắn hạn > Công ty TNHH Borouge,Công ty TNHH Borouge,5.437.374.940,5.437.374.940,2.608.491.600,2.608.491.600,5437374940.0,5437374940.0,2608491600.0,2608491600.0
Công ty TNHH MTV Đầu Tư ThươngMại Phan Lê,a) Ngắn hạn > Công ty TNHH MTV Đầu Tư ThươngMại Phan Lê,Công ty TNHH MTV Đầu Tư ThươngMại Phan Lê,3.000.000.000,3.000.000.000,4.066.144.347,4.066.144.347,3000000000.0,3000000000.0,4066144347.0,4066144347.0
Công ty TNHH Thiết Kế Đầu tư Xây dựng Phú Gia,a) Ngắn hạn > Công ty TNHH Thiết Kế Đầu tư Xây dựng Phú Gia,Công ty TNHH Thiết Kế Đầu tư Xây dựng Phú Gia,2.530.000.000,2.530.000.000,-,-,2530000000.0,2530000000.0,,
Công ty Cổ phần E.C.O.N,a) Ngắn hạn > Công ty Cổ phần E.C.O.N,Công ty Cổ phần E.C.O.N,1.261.091.794,1.261.091.794,-,-,1261091794.0,1261091794.0,,
Công ty Cổ phầnThắng Đạt,a) Ngắn hạn > Công ty Cổ phầnThắng Đạt,Công ty Cổ phầnThắng Đạt,1.000.000.000,1.000.000.000,1.302.389.581,1.302.389.581,1000000000.0,1000000000.0,1302389581.0,1302389581.0
Công ty Swiss - Bel Hotel International,a) Ngắn hạn > Công ty Swiss - Bel Hotel International,Công ty Swiss - Bel Hotel International,928.386.800,928.386.800,-,-,928386800.0,928386800.0,,
Doanh nghiệp Tư nhân Ngọc Quang,a) Ngắn hạn > Doanh nghiệp Tư nhân Ngọc Quang,Doanh nghiệp Tư nhân Ngọc Quang,862.509.070,862.509.070,-,-,862509070.0,862509070.0,,
Các đối tượng khác,a) Ngắn hạn > Các đối tượng khác,Các đối tượng khác,40.779.410.280,40.779.410.280,61.593.140.684,61.593.140.684,40779410280.0,40779410280.0,61593140684.0,61593140684.0
b) Dài hạn,a) Ngắn hạn > b) Dài hạn,b) Dài hạn,-,-,18.090.240.000,18.090.240.000,,,18090240000.0,18090240000.0
Công ty TNHH MTV Phát triển KhuCông nghệ cao Thành phố Hồ Chí Minh,a) Ngắn hạn > Công ty TNHH MTV Phát triển KhuCông nghệ cao Thành phố Hồ Chí Minh,Công ty TNHH MTV Phát triển KhuCông nghệ cao Thành phố Hồ Chí Minh,-,-,18.090.240.000,18.090.240.000,,,18090240000.0,18090240000.0
,,,129.494.299.518,129.494.299.518,176.496.465.979,176.496.465.979,129494299518.0,129494299518.0,176496465979.0,176496465979.0
