row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,1.829.499.531.249,2.212.240.383.423,1.0,,1829499531249.0,2212240383423.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,3.817.741.808,8.365.465.393,2.0,,3817741808.0,8365465393.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10=01-02),10,23,1.825.681.789.441,2.203.874.918.030,10.0,23.0,1825681789441.0,2203874918030.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,24,1.690.937.870.040,2.001.433.944.640,11.0,24.0,1690937870040.0,2001433944640.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10 - 11),20,,134.743.919.401,202.440.973.390,20.0,,134743919401.0,202440973390.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,26,65.134.818.039,13.172.645.890,21.0,26.0,65134818039.0,13172645890.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,27,66.108.603.224,51.704.887.375,22.0,27.0,66108603224.0,51704887375.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,60.360.227.171,27.189.142.475,23.0,,60360227171.0,27189142475.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,551.366.669,7.673.264.282,24.0,,551366669.0,7673264282.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,28,44.261.329.119,43.451.029.050,25.0,28.0,44261329119.0,43451029050.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,28,49.762.537.472,48.450.392.050,26.0,28.0,49762537472.0,48450392050.0
11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},30,,40.297.634.294,79.680.575.087,30.0,,40297634294.0,79680575087.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,29,2.908.454.110,1.103.282.649,31.0,29.0,2908454110.0,1103282649.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,30,6.871.867.018,12.175.219.148,32.0,30.0,6871867018.0,12175219148.0
14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),40,,(3.963.412.908),(11.071.936.499),40.0,,-3963412908.0,-11071936499.0
15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,36.334.221.386,68.608.638.588,50.0,,36334221386.0,68608638588.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,31,13.510.199.275,17.049.223.496,51.0,31.0,13510199275.0,17049223496.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,(1.322.707.060),(723.541.478),52.0,,-1322707060.0,-723541478.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50 - 51 - 52),60,,24.146.729.171,52.282.956.570,60.0,,24146729171.0,52282956570.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,24.881.339.805,54.336.882.185,61.0,,24881339805.0,54336882185.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(734.610.634),(2.053.925.615),62.0,,-734610634.0,-2053925615.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,32,113,272,70.0,32.0,113.0,272.0
