row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
Ông Nguyễn Hải Dương,Ông Nguyễn Hải Dương,Ông Nguyễn Hải Dương,Chủ tịch,Bổ nhiệm ngày 12/03/2016,,
Ông Nguyễn Đình Tú,Ông Nguyễn Đình Tú,Ông Nguyễn Đình Tú,Chủ tịch,Miễn nhiệm ngày 11/03/2016,,
Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,Phó chủ tịch,Miễn nhiệm ngày 08/03/2017,,
Ông Hoàng Trí Cường,Ông Hoàng Trí Cường,Ông Hoàng Trí Cường,Phó Chủ tịch,Bổ nhiệm ngày 12/03/2016,,
Ông Đào Ngọc Thanh,Ông Đào Ngọc Thanh,Ông Đào Ngọc Thanh,Phó Chủ tịch,Bổ nhiệm ngày 09/03/2017,,
Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Thành viên,Miễn nhiệm ngày 08/03/2017,,
Ông Nguyễn Hồng Hải,Ông Nguyễn Hồng Hải,Ông Nguyễn Hồng Hải,Thành viên,Bổ nhiệm ngày 17/11/2016,,
Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,Thành viên,Bổ nhiệm ngày 11/03/2016;Miễn nhiệm ngày 17/11/2016,,
Ông Trần Đình Tùng,Ông Trần Đình Tùng,Ông Trần Đình Tùng,Thành viên,Miễn nhiệm ngày 11/03/2016,,
Ông Trần Hải Quang,Ông Trần Hải Quang,Ông Trần Hải Quang,Thành viên,Bổ nhiệm ngày 09/03/2017,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Ông Trần Anh Vương,Ông Trần Anh Vương,Ông Trần Anh Vương,Tổng Giám đốc,Bổ nhiệm ngày 01/05/2016,,
Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,Tổng Giám đốc,Miễn nhiệm ngày 30/04/2016,,
Ông Nguyễn Văn Kiều,Ông Nguyễn Văn Kiều,Ông Nguyễn Văn Kiều,Phó Tổng Giám đốc,Miễn nhiệm ngày 01/04/2016,,
Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Phó Tổng Giám đốc,Bổ nhiệm ngày 01/04/2016,,
Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Phó Tổng Giám đốc,Bổ nhiệm ngày 01/04/2016,,
Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Phó Tổng Giám đốc,Bổ nhiệm ngày 20/02/2017,,
