row_label_raw,row_label_full,col_0,Số cuối nămVND,Số phải nộp/phải thu trong nămVND,Số đã thực thu/thực nộp trong nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số phải nộp/phải thu trong nămVND,numeric__Số đã thực thu/thực nộp trong nămVND,numeric__Số đầu nămVND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,
"Thuế xuất, nhập khẩu","a) Phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.805.657.434,(1.830.194.777),24.537.343,,1805657434.0,-1830194777.0,24537343.0
Thuế thu nhập doanh nghiệp,a) Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.542.706.458,-,-,1.542.706.458,1542706458.0,,,1542706458.0
,,,1.542.706.458,1.805.657.434,(1.830.194.777),1.567.243.801,1542706458.0,1805657434.0,-1830194777.0,1567243801.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,
Thuế giá trị gia tăng,b) Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,405.872.412,29.757.580.162,(30.737.985.893),1.386.278.143,405872412.0,29757580162.0,-30737985893.0,1386278143.0
Thuế tiêu thụ đặc biệt,b) Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,139.752.954,1.997.854.817,(1.858.101.863),-,139752954.0,1997854817.0,-1858101863.0,
Thuế thu nhập doanh nghiệp,b) Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,4.331.378.169,13.510.199.275,(19.753.620.371),10.574.799.265,4331378169.0,13510199275.0,-19753620371.0,10574799265.0
Thuế thu nhập cá nhân,b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,871.806.137,6.231.650.019,(6.003.512.407),643.668.525,871806137.0,6231650019.0,-6003512407.0,643668525.0
Các loại thuế khác,b) Phải nộp > Các loại thuế khác,Các loại thuế khác,791.840,157.714.300,(157.211.682),289.222,791840.0,157714300.0,-157211682.0,289222.0
,,,5.749.601.512,51.654.998.573,(58.510.432.216),12.605.035.155,5749601512.0,51654998573.0,-58510432216.0,12605035155.0
