row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,1.526.955.116.342,1.841.711.488.452,100.0,,1526955116342.0,1841711488452.0
I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,110,5,93.029.583.315,89.323.013.379,110.0,5.0,93029583315.0,89323013379.0
1. Tiền,1. Tiền,1. Tiền,111,,93.029.583.315,54.234.415.578,111.0,,93029583315.0,54234415578.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,35.088.597.801,112.0,,,35088597801.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,210.525.817.397,13.254.484.084,120.0,6.0,210525817397.0,13254484084.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,217.650.160.250,18.307.878.147,121.0,,217650160250.0,18307878147.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(7.124.342.853),(7.703.394.063),122.0,,-7124342853.0,-7703394063.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,-,2.650.000.000,123.0,,,2650000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,555.278.580.844,745.558.872.943,130.0,,555278580844.0,745558872943.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,413.905.443.039,693.244.235.707,131.0,7.0,413905443039.0,693244235707.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,20.940.897.141,37.815.539.809,132.0,8.0,20940897141.0,37815539809.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9,6.500.000.000,-,135.0,9.0,6500000000.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10,113.272.650.517,14.499.097.427,136.0,10.0,113272650517.0,14499097427.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,659.590.147,-,139.0,,659590147.0,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,623.530.510.407,936.128.189.269,140.0,11.0,623530510407.0,936128189269.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,624.739.081.580,942.532.736.283,141.0,,624739081580.0,942532736283.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(1.208.571.173),(6.404.547.014),149.0,,-1208571173.0,-6404547014.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,44.590.624.379,57.446.928.777,150.0,,44590624379.0,57446928777.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,3.925.852.137,3.362.538.475,151.0,,3925852137.0,3362538475.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,39.122.065.784,52.517.146.501,152.0,,39122065784.0,52517146501.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,12,1.542.706.458,1.567.243.801,153.0,12.0,1542706458.0,1567243801.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,2.137.601.435.931,1.714.136.747.524,200.0,,2137601435931.0,1714136747524.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,150.720.221.163,156.317.535.177,210.0,,150720221163.0,156317535177.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,7,40.615.221.163,46.212.535.177,211.0,7.0,40615221163.0,46212535177.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,10,110.105.000.000,110.105.000.000,216.0,10.0,110105000000.0,110105000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,908.991.719.602,662.691.315.039,220.0,,908991719602.0,662691315039.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,869.674.108.002,602.382.011.575,221.0,13.0,869674108002.0,602382011575.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.310.245.253.360,982.994.357.330,222.0,,1310245253360.0,982994357330.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(440.571.145.358),(380.612.345.755),223.0,,-440571145358.0,-380612345755.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,39.317.611.600,60.309.303.464,227.0,14.0,39317611600.0,60309303464.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,48.378.543.116,70.929.721.116,228.0,,48378543116.0,70929721116.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(9.060.931.516),(10.620.417.652),229.0,,-9060931516.0,-10620417652.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,15,147.512.028.097,151.155.106.693,230.0,15.0,147512028097.0,151155106693.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,162.364.433.143,162.364.433.143,231.0,,162364433143.0,162364433143.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(14.852.405.046),(11.209.326.450),232.0,,-14852405046.0,-11209326450.0
