row_label_raw,row_label_full,col_0,Số năm khấu hao,numeric__Số năm khấu hao
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05 – 48,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 – 25,
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",05 – 10,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 – 10,
Vườn cây lâu năm,Vườn cây lâu năm,Vườn cây lâu năm,03 – 09,
