row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,113.272.650.517,14.499.097.427,,113272650517.0,14499097427.0
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,87.000.000.000,-,,87000000000.0,
Công ty Cổ phần Nhựa Đồng Nai,Công ty Cổ phần Nhựa Đồng Nai,Công ty Cổ phần Nhựa Đồng Nai,(i),70.000.000.000,-,,70000000000.0,
Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,(ii),17.000.000.000,-,,17000000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,26.272.650.517,14.499.097.427,,26272650517.0,14499097427.0
Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển,,,
Lĩnh Phong - CONIC,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển > Lĩnh Phong - CONIC,Lĩnh Phong - CONIC,(iii),20.000.000.000,-,,20000000000.0,
Tạm ứng,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển > Tạm ứng,Tạm ứng,Tạm ứng,3.627.360.160,1.396.017.338,,3627360160.0,1396017338.0
Phải thu phí bảo trì căn hộ chung cư,Công ty Cổ phần Xây dựng Đầu tư và Phát Triển > Phải thu phí bảo trì căn hộ chung cư,Phải thu phí bảo trì căn hộ chung cư,Phải thu phí bảo trì căn hộ chung cư,923.910.432,2.436.057.324,,923910432.0,2436057324.0
Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần,,,
Vật liệu Điện và Viễn thông Sam Cường,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần > Vật liệu Điện và Viễn thông Sam Cường,Vật liệu Điện và Viễn thông Sam Cường,Vật liệu Điện và Viễn thông Sam Cường,912.800.000,-,,912800000.0,
Phải thu Trung tâm Phát triển Quỹ đất huyện,Phải thu Trung tâm Phát triển Quỹ đất huyện,Phải thu Trung tâm Phát triển Quỹ đất huyện,Phải thu Trung tâm Phát triển Quỹ đất huyện,Phải thu Trung tâm Phát triển Quỹ đất huyện,Phải thu Trung tâm Phát triển Quỹ đất huyện,,,
Nhơn Trạch,Phải thu Trung tâm Phát triển Quỹ đất huyện > Nhơn Trạch,Nhơn Trạch,Nhơn Trạch,100.000.000,100.000.000,,100000000.0,100000000.0
"Ký cược, ký quỹ ngắn hạn","Phải thu Trung tâm Phát triển Quỹ đất huyện > Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn",34.000.000,130.200.000,,34000000.0,130200000.0
Công ty Cổ phần Chứng khoán Sài Gòn (SSI),Phải thu Trung tâm Phát triển Quỹ đất huyện > Công ty Cổ phần Chứng khoán Sài Gòn (SSI),Công ty Cổ phần Chứng khoán Sài Gòn (SSI),Công ty Cổ phần Chứng khoán Sài Gòn (SSI),-,9.600.000.000,,,9600000000.0
Phải thu khác,Phải thu Trung tâm Phát triển Quỹ đất huyện > Phải thu khác,Phải thu khác,Phải thu khác,674.579.925,836.822.765,,674579925.0,836822765.0
b) Dài hạn,Phải thu Trung tâm Phát triển Quỹ đất huyện > b) Dài hạn,b) Dài hạn,b) Dài hạn,110.105.000.000,110.105.000.000,,110105000000.0,110105000000.0
Ký quỹ cho UBND tỉnh Lâm Đồng,Phải thu Trung tâm Phát triển Quỹ đất huyện > Ký quỹ cho UBND tỉnh Lâm Đồng,Ký quỹ cho UBND tỉnh Lâm Đồng,(iv),110.000.000.000,110.000.000.000,,110000000000.0,110000000000.0
"Ký cược, ký quỹ dài hạn khác","Phải thu Trung tâm Phát triển Quỹ đất huyện > Ký cược, ký quỹ dài hạn khác","Ký cược, ký quỹ dài hạn khác","Ký cược, ký quỹ dài hạn khác",105.000.000,105.000.000,,105000000.0,105000000.0
,,,,223.377.650.517,124.604.097.427,,223377650517.0,124604097427.0
