row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thôngVND,Xây dựngvà kinh doanhbắt động sảnVND,Đầu tư tài chínhvà các lĩnh vực khácVND,Loại trừgiao dịch nội bộVND,Tổng cộngVND,numeric__Cáp và vật liệuviễn thôngVND,numeric__Xây dựngvà kinh doanhbắt động sảnVND,numeric__Đầu tư tài chínhvà các lĩnh vực khácVND,numeric__Loại trừgiao dịch nội bộVND,numeric__Tổng cộngVND
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,
Tài sản,Số cuối năm > Tài sản,Tài sản,845.079.040.532,2.353.520.093.011,3.181.184.352.496,(2.715.226.933.766),3.664.556.552.273,845079040532.0,2353520093011.0,3181184352496.0,-2715226933766.0,3664556552273.0
Tài sản bộ phận,Số cuối năm > Tài sản bộ phận,Tài sản bộ phận,845.079.040.532,2.353.520.093.011,3.181.184.352.496,(2.715.226.933.766),3.664.556.552.273,845079040532.0,2353520093011.0,3181184352496.0,-2715226933766.0,3664556552273.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,
Nợ phải trả,Tổng tài sản hợp nhất > Nợ phải trả,Nợ phải trả,338.726.729.104,948.028.068.824,739.052.190.812,(827.855.822.675),1.197.951.166.065,338726729104.0,948028068824.0,739052190812.0,-827855822675.0,1197951166065.0
Nợ phải trả bộ phận,Tổng tài sản hợp nhất > Nợ phải trả bộ phận,Nợ phải trả bộ phận,338.726.729.104,948.028.068.824,739.052.190.812,(827.855.822.675),1.197.951.166.065,338726729104.0,948028068824.0,739052190812.0,-827855822675.0,1197951166065.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Tài sản,Số đầu năm > Tài sản,Tài sản,549.601.112.218,1.412.713.858.779,2.409.725.867.485,(816.192.602.506),3.555.848.235.976,549601112218.0,1412713858779.0,2409725867485.0,-816192602506.0,3555848235976.0
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,549.601.112.218,1.412.713.858.779,2.409.725.867.485,(816.192.602.506),3.555.848.235.976,549601112218.0,1412713858779.0,2409725867485.0,-816192602506.0,3555848235976.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,
Nợ phải trả,Tổng tài sản hợp nhất > Nợ phải trả,Nợ phải trả,2.390.140.759.870,1.774.503.018.497,2.978.329.052.924,(6.049.807.720.996),1.093.165.110.295,2390140759870.0,1774503018497.0,2978329052924.0,-6049807720996.0,1093165110295.0
Nợ phải trả bộ phận,Tổng tài sản hợp nhất > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.390.140.759.870,1.774.503.018.497,2.978.329.052.924,(6.049.807.720.996),1.093.165.110.295,2390140759870.0,1774503018497.0,2978329052924.0,-6049807720996.0,1093165110295.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,
