row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịdụng cụ quản lý,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịdụng cụ quản lý,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,447.692.959.242,484.681.530.730,47.327.443.576,3.292.423.782,982.994.357.330,447692959242.0,484681530730.0,47327443576.0,3292423782.0,982994357330.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,601.154.500,18.715.295.482,-,-,19.316.449.982,601154500.0,18715295482.0,,,19316449982.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,286.546.113.705,20.862.601.043,2.614.390.647,-,310.023.105.395,286546113705.0,20862601043.0,2614390647.0,,310023105395.0
- Phân loại sang chi phí trả trước dài hạn,Nguyên giá > - Phân loại sang chi phí trả trước dài hạn,- Phân loại sang chi phí trả trước dài hạn,(390.669.859),-,-,-,(390.669.859),-390669859.0,,,,-390669859.0
- Luân chuyển nội bộ,Nguyên giá > - Luân chuyển nội bộ,- Luân chuyển nội bộ,-,-,688.567.627,-,688.567.627,,,688567627.0,,688567627.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,467.807.900,(467.807.900),-,-,,467807900.0,-467807900.0,,,
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(38.207.255),(868.958.282),(1.158.173.065),(179.451.400),(2.244.790.002),-38207255.0,-868958282.0,-1158173065.0,-179451400.0,-2244790002.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,-,-,(141.767.113),(141.767.113),,,,-141767113.0,-141767113.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,734.879.158.233,522.922.661.073,49.472.228.785,2.971.205.269,1.310.245.253.360,734879158233.0,522922661073.0,49472228785.0,2971205269.0,1310245253360.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,43.347.456.358,314.777.939.044,19.550.269.987,2.936.680.366,380.612.345.755,43347456358.0,314777939044.0,19550269987.0,2936680366.0,380612345755.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,21.914.583.829,33.941.262.355,5.166.594.808,171.638.057,61.194.079.049,21914583829.0,33941262355.0,5166594808.0,171638057.0,61194079049.0
- Phân loại sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > - Phân loại sang chi phí trả trước dài hạn,- Phân loại sang chi phí trả trước dài hạn,(120.456.534),-,-,-,(120.456.534),-120456534.0,,,,-120456534.0
- Luân chuyển nội bộ,Giá trị hao mòn lũy kế > - Luân chuyển nội bộ,- Luân chuyển nội bộ,-,-,688.567.627,,688.567.627,,,688567627.0,,688567627.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,467.807.900,(467.807.900),-,-,,467807900.0,-467807900.0,,,
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(7.800.648),(316.198.313),(1.158.173.065),(179.451.400),(1.661.623.426),-7800648.0,-316198313.0,-1158173065.0,-179451400.0,-1661623426.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,-,(141.767.113),(141.767.113),,,,-141767113.0,-141767113.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,65.601.590.905,347.935.195.186,24.247.259.357,2.787.099.910,440.571.145.358,65601590905.0,347935195186.0,24247259357.0,2787099910.0,440571145358.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,404.345.502.884,169.903.591.686,27.777.173.589,355.743.416,602.382.011.575,404345502884.0,169903591686.0,27777173589.0,355743416.0,602382011575.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,669.277.567.328,174.987.465.887,25.224.969.428,184.105.359,869.674.108.002,669277567328.0,174987465887.0,25224969428.0,184105359.0,869674108002.0
