row_label_raw,row_label_full,Ông: Nguyễn Hữu Tâm,Tổng Giám đốc,(Từ nhiệm ngày 06/03/2018),numeric__Tổng Giám đốc,numeric__(Từ nhiệm ngày 06/03/2018)
Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Phó Tổng Giám đốc phụ trách,,,
Ông: Lê Huy Giang,Ông: Lê Huy Giang,Ông: Lê Huy Giang,Phó Tổng Giám đốc,,,
