row_label_raw,row_label_full,col_0,"Hàng hóa, thành phẩm","Dịch vụ, khác","Bắt động sản, quyền kinh doanh bắt động sản",Loại trừ,Tổng cộng toàn doanh nghiệp,"numeric__Hàng hóa, thành phẩm","numeric__Dịch vụ, khác","numeric__Bắt động sản, quyền kinh doanh bắt động sản",numeric__Loại trừ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,632.477.910.822,512.210.729.085,98.041.567.853,-,1.242.730.207.760,632477910822.0,512210729085.0,98041567853.0,,1242730207760.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,296.058.868.682,214.732.271.351,9.961.922.250,-,520.753.062.283,296058868682.0,214732271351.0,9961922250.0,,520753062283.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,4.686.549.730,31.945.255.024,2.778.567.447,-,39.410.372.201,4686549730.0,31945255024.0,2778567447.0,,39410372201.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,594.454.747.334,2.840.091.711.351,851.499.152.959,(69.637.752.571),4.216.407.859.073,594454747334.0,2840091711351.0,851499152959.0,-69637752571.0,4216407859073.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,498.526.827.474,,,,,498526827474.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,594.454.747.334,2.840.091.711.351,851.499.152.959,(69.637.752.571),4.714.934.686.547,594454747334.0,2840091711351.0,851499152959.0,-69637752571.0,4714934686547.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,78.324.461.658,2.560.387.959.594,1.209.825.263.354,(719.203.139.699),3.129.334.544.907,78324461658.0,2560387959594.0,1209825263354.0,-719203139699.0,3129334544907.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,710.835.518.419,,,,,710835518419.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,78.324.461.658,2.560.387.959.594,1.209.825.263.354,(719.203.139.699),3.840.170.063.326,78324461658.0,2560387959594.0,1209825263354.0,-719203139699.0,3840170063326.0
