row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Điều chỉnh khác,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Điều chỉnh khác,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,,VND,VND,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,12.350.950.078,69.471.584.610,72.114.349.652,-,-,9.708.185.036,,12350950078.0,69471584610.0,72114349652.0,,,9708185036.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,145.288.878,1.785.497.831,1.795.622.895,-,-,135.163.814,,145288878.0,1785497831.0,1795622895.0,,,135163814.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,-,39.637.325,39.637.325,-,-,-,,,39637325.0,39637325.0,,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,10.745.730.481,6.270.168.878,40.505.647.573,39.988.704.961,134.941.351,10.008.014.340,6.184.336.700,10745730481.0,6270168878.0,40505647573.0,39988704961.0,134941351.0,10008014340.0,6184336700.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,28.847.723,1.676.093.512,10.885.816.453,11.361.141.548,-,28.847.723,1.200.768.417,28847723.0,1676093512.0,10885816453.0,11361141548.0,,28847723.0,1200768417.0
"- macro nhà đất, tiền thuê đất","- macro nhà đất, tiền thuê đất","- macro nhà đất, tiền thuê đất",10.489.160,103.053.529.080,7.878.753.092,6.337.395.092,-,-,104.584.397.920,10489160.0,103053529080.0,7878753092.0,6337395092.0,,,104584397920.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,56.691.558.221,1.600.393.971,1.629.171.075,-,-,56.662.781.117,,56691558221.0,1600393971.0,1629171075.0,,,56662781117.0
- Các khoản phí và các khoản phải nộp khác,- Các khoản phí và các khoản phải nộp khác,- Các khoản phí và các khoản phải nộp khác,-,-,447.210.814,312.269.463,(134.941.351),-,-,,,447210814.0,312269463.0,-134941351.0,,
,,,10.785.067.364,180.187.588.647,132.614.541.669,133.578.292.011,-,10.036.862.063,178.475.633.004,10785067364.0,180187588647.0,132614541669.0,133578292011.0,,10036862063.0,178475633004.0
