row_label_raw,row_label_full,col_0,31/12/2018 > Giá gốcVND,31/12/2018 > Giá trị sau dự phòngVND,01/01/2018 > Giá gốcVND,01/01/2018 > Giá trị sau dự phòngVND,numeric__31/12/2018 > Giá gốcVND,numeric__31/12/2018 > Giá trị sau dự phòngVND,numeric__01/01/2018 > Giá gốcVND,numeric__01/01/2018 > Giá trị sau dự phòngVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,4.745.941.764.381,710.181.343.280,4.210.412.266.695,793.301.711.901,4745941764381.0,710181343280.0,4210412266695.0,793301711901.0
- Phải thu về cho vay ngắn hạn,- Phải thu về cho vay ngắn hạn,- Phải thu về cho vay ngắn hạn,1.517.313.804.339,354.179.045.157,1.511.933.804.339,425.096.892.384,1517313804339.0,354179045157.0,1511933804339.0,425096892384.0
- Phải thu ngắn hạn của khách hàng,- Phải thu ngắn hạn của khách hàng,- Phải thu ngắn hạn của khách hàng,95.810.587.048,9.837.774,95.303.334.543,747.925.640,95810587048.0,9837774.0,95303334543.0,747925640.0
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,2.929.917.074.332,326.354.492.590,2.423.009.763.308,359.399.486.926,2929917074332.0,326354492590.0,2423009763308.0,359399486926.0
- Tài sản thiếu chờ xử lý,- Tài sản thiếu chờ xử lý,- Tài sản thiếu chờ xử lý,7.499.714.599,3.574.797.954,7.492.865.677,3.983.317.424,7499714599.0,3574797954.0,7492865677.0,3983317424.0
- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,195.400.584.063,26.063.169.805,172.672.498.828,4.074.089.527,195400584063.0,26063169805.0,172672498828.0,4074089527.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,914.298.325.921,381.437.602.496,1.478.660.065.921,460.201.916.800,914298325921.0,381437602496.0,1478660065921.0,460201916800.0
- Trả trước cho người bán dài hạn,- Trả trước cho người bán dài hạn,- Trả trước cho người bán dài hạn,906.498.663.234,379.893.023.373,972.052.163.234,458.761.497.677,906498663234.0,379893023373.0,972052163234.0,458761497677.0
- Phải thu dài hạn khác,- Phải thu dài hạn khác,- Phải thu dài hạn khác,7.799.662.687,1.544.579.123,506.607.902.687,1.440.419.123,7799662687.0,1544579123.0,506607902687.0,1440419123.0
,,,5.660.240.090.302,1.091.618.945.776,5.689.072.332.616,1.253.503.628.701,5660240090302.0,1091618945776.0,5689072332616.0,1253503628701.0
