row_label_raw,row_label_full,col_0,Quyền đầu tưDự án,Quyền sửdụng đất,Chương trìnhphần mềm,Cộng,numeric__Quyền đầu tưDự án,numeric__Quyền sửdụng đất,numeric__Chương trìnhphần mềm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,72.220.284.239,36.086.750.000,3.389.534.491,111.696.568.730,72220284239.0,36086750000.0,3389534491.0,111696568730.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,30.000.000,30.000.000,,,30000000.0,30000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,72.220.284.239,36.086.750.000,3.419.534.491,111.726.568.730,72220284239.0,36086750000.0,3419534491.0,111726568730.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.299.863.516,-,2.765.175.401,7.065.038.917,4299863516.0,,2765175401.0,7065038917.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.884.302.895,-,252.786.215,2.137.089.110,1884302895.0,,252786215.0,2137089110.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.184.166.411,-,3.017.961.616,9.202.128.027,6184166411.0,,3017961616.0,9202128027.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,67.920.420.723,36.086.750.000,624.359.090,104.631.529.813,67920420723.0,36086750000.0,624359090.0,104631529813.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,66.036.117.828,36.086.750.000,401.572.875,102.524.440.703,66036117828.0,36086750000.0,401572875.0,102524440703.0
