row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,109.857.049.800,(2.410.574.752.966),623.850.684.939,1.338.764.870.094,3000000000000.0,1286825482.0,-10000.0,14345072839.0,109857049800.0,-2410574752966.0,623850684939.0,1338764870094.0
- Lỗ trong năm trước,- Lỗ trong năm trước,- Lỗ trong năm trước,-,-,-,-,-,(472.517.350.873),1.070.997.965,(471.446.352.908),,,,,,-472517350873.0,1070997965.0,-471446352908.0
- Thoái vốn tại Công ty con,- Thoái vốn tại Công ty con,- Thoái vốn tại Công ty con,-,-,-,-,-,17.939.967,307.040.033,324.980.000,,,,,,17939967.0,307040033.0,324980000.0
- Chia cổ tức tại Công ty con,- Chia cổ tức tại Công ty con,- Chia cổ tức tại Công ty con,-,-,-,-,-,-,(6.827.918.400),(6.827.918.400),,,,,,,-6827918400.0,-6827918400.0
- Phân phối lợi nhuận tại Công ty con,- Phân phối lợi nhuận tại Công ty con,- Phân phối lợi nhuận tại Công ty con,-,-,-,-,171.071.078,(3.010.038.722),(2.582.941.348),(5.421.908.992),,,,,171071078.0,-3010038722.0,-2582941348.0,-5421908992.0
- Ảnh hưởng do thay đổi tỷ lệ lợi ích tại Công ty con,- Ảnh hưởng do thay đổi tỷ lệ lợi ích tại Công ty con,- Ảnh hưởng do thay đổi tỷ lệ lợi ích tại Công ty con,-,-,-,-,120.762.131,(286.924.480),166.162.349,-,,,,,120762131.0,-286924480.0,166162349.0,
- Giảm khác do ảnh hưởng điều chỉnh lợi nhuận sau thuế của Công ty con,- Giảm khác do ảnh hưởng điều chỉnh lợi nhuận sau thuế của Công ty con,- Giảm khác do ảnh hưởng điều chỉnh lợi nhuận sau thuế của Công ty con,-,-,-,-,-,(6.521.185.375),(5.828.814.625),(12.350.000.000),,,,,,-6521185375.0,-5828814625.0,-12350000000.0
- Điều chỉnh khấu hao TSCĐ đánh giá lại khi mua Công ty con phân bổ cho Cổ đông không kiểm soát,- Điều chỉnh khấu hao TSCĐ đánh giá lại khi mua Công ty con phân bổ cho Cổ đông không kiểm soát,- Điều chỉnh khấu hao TSCĐ đánh giá lại khi mua Công ty con phân bổ cho Cổ đông không kiểm soát,-,-,-,-,-,9.396.574.374,(7.121.080.629),2.275.493.745,,,,,,9396574374.0,-7121080629.0,2275493745.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,(22.919.280),(625.092.872),(516.117.964),(1.164.130.116),,,,,-22919280.0,-625092872.0,-516117964.0,-1164130116.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,110.125.963.730,(2.884.120.830.947),602.518.012.319,844.155.033.423,3000000000000.0,1286825482.0,-10000.0,14345072839.0,110125963730.0,-2884120830947.0,602518012319.0,844155033423.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,110.125.963.730,(2.884.120.830.947),602.518.012.319,844.155.033.423,3000000000000.0,1286825482.0,-10000.0,14345072839.0,110125963730.0,-2884120830947.0,602518012319.0,844155033423.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,-,-,-,-,26.013.560.548,22.311.149.976,48.324.710.524,,,,,,26013560548.0,22311149976.0,48324710524.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,-,-,360.420.238,(2.430.862.993),(2.561.747.777),(4.632.190.532),,,,,360420238.0,-2430862993.0,-2561747777.0,-4632190532.0
- Chia cổ tức tại Công ty con,- Chia cổ tức tại Công ty con,- Chia cổ tức tại Công ty con,-,-,-,-,-,-,(12.900.580.874),(12.900.580.874),,,,,,,-12900580874.0,-12900580874.0
"- Điều chỉnh do ảnh hưởng của thanh tra, quyết toán thuế và các nội dung khác tại các Công ty con","- Điều chỉnh do ảnh hưởng của thanh tra, quyết toán thuế và các nội dung khác tại các Công ty con","- Điều chỉnh do ảnh hưởng của thanh tra, quyết toán thuế và các nội dung khác tại các Công ty con",-,-,-,-,-,(456.303.543),273.954.223,(182.349.320),,,,,,-456303543.0,273954223.0,-182349320.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,110.486.383.968,(2.860.994.436.935),609.640.787.867,874.764.623.221,3000000000000.0,1286825482.0,-10000.0,14345072839.0,110486383968.0,-2860994436935.0,609640787867.0,874764623221.0
