row_label_raw,row_label_full,col_0,31/12/2017,01/01/2017(Đã điều chỉnh),numeric__31/12/2017,numeric__01/01/2017(Đã điều chỉnh)
,,,VND,VND,,
a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,,
- Phải trả phạt do quả hạn hợp đồng (1),a) Ngân hạn > - Phải trả phạt do quả hạn hợp đồng (1),- Phải trả phạt do quả hạn hợp đồng (1),168.935.090.095,168.935.090.095,168935090095.0,168935090095.0
- Phải trả cổ tức (2),a) Ngân hạn > - Phải trả cổ tức (2),- Phải trả cổ tức (2),4.232.450,4.232.450,4232450.0,4232450.0
- Công ty Cổ phần Đầu tư Đại Dương Thăng Long,a) Ngân hạn > - Công ty Cổ phần Đầu tư Đại Dương Thăng Long,- Công ty Cổ phần Đầu tư Đại Dương Thăng Long,-,74.994.088.166,,74994088166.0
- Công ty TNHH VNT (3),a) Ngân hạn > - Công ty TNHH VNT (3),- Công ty TNHH VNT (3),72.000.000.000,72.000.000.000,72000000000.0,72000000000.0
- Công ty Tài chính Cổ phần Điện lực (4),a) Ngân hạn > - Công ty Tài chính Cổ phần Điện lực (4),- Công ty Tài chính Cổ phần Điện lực (4),70.094.503.260,70.250.000.000,70094503260.0,70250000000.0
- Ngân hàng Thương mại TNHH MTV Đại Dương (5),a) Ngân hạn > - Ngân hàng Thương mại TNHH MTV Đại Dương (5),- Ngân hàng Thương mại TNHH MTV Đại Dương (5),48.894.796.497,60.894.796.497,48894796497.0,60894796497.0
- Công ty Cổ phần BSC Việt Nam (6),a) Ngân hạn > - Công ty Cổ phần BSC Việt Nam (6),- Công ty Cổ phần BSC Việt Nam (6),49.450.694.902,49.450.694.902,49450694902.0,49450694902.0
- Công ty Cổ phần đầu tư Lam Hồng (7),a) Ngân hạn > - Công ty Cổ phần đầu tư Lam Hồng (7),- Công ty Cổ phần đầu tư Lam Hồng (7),18.788.834.489,18.788.834.489,18788834489.0,18788834489.0
- Nhận đặt cọc chuyển nhượng vốn góp dự án VNT Hạ Đình (8),a) Ngân hạn > - Nhận đặt cọc chuyển nhượng vốn góp dự án VNT Hạ Đình (8),- Nhận đặt cọc chuyển nhượng vốn góp dự án VNT Hạ Đình (8),75.020.000.000,-,75020000000.0,
- Trung tâm Phát triển Quỹ đất TP. Hạ Long (9),a) Ngân hạn > - Trung tâm Phát triển Quỹ đất TP. Hạ Long (9),- Trung tâm Phát triển Quỹ đất TP. Hạ Long (9),15.353.795.000,-,15353795000.0,
- Phải trả ngắn hạn khác,a) Ngân hạn > - Phải trả ngắn hạn khác,- Phải trả ngắn hạn khác,12.121.644.820,19.027.732.398,12121644820.0,19027732398.0
,,,530.663.591.513,534.345.468.997,530663591513.0,534345468997.0
