row_label_raw,row_label_full,col_0,Mã số,Phân loại lại > VND,Đã trình bày trên báo cáo năm trước > VND,Chênh lệch > VND,numeric__Mã số,numeric__Phân loại lại > VND,numeric__Đã trình bày trên báo cáo năm trước > VND,numeric__Chênh lệch > VND
Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,,,,
Dự phòng đầu tư tài chính dài hạn,Bảng Cân đối kế toán riêng > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,(1.004.464.297.565),(1.060.824.889.230),56.360.591.665,254.0,-1004464297565.0,-1060824889230.0,56360591665.0
Phái trả ngắn hạn khác,Bảng Cân đối kế toán riêng > Phái trả ngắn hạn khác,Phái trả ngắn hạn khác,319,534.345.468.997,609.345.468.997,(75.000.000.000),319.0,534345468997.0,609345468997.0,-75000000000.0
Lợi nhuận sau thuế chưa phân phối,Bảng Cân đối kế toán riêng > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,(2.140.017.772.474),(2.271.378.364.139),131.360.591.665,421.0,-2140017772474.0,-2271378364139.0,131360591665.0
