row_label_raw,row_label_full,col_0,Hoạt động kinh doanh bất động sản,Hoạt động thương mại dịch vụ,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động kinh doanh bất động sản,numeric__Hoạt động thương mại dịch vụ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,19.812.230.476,10.314.599.770,30.126.830.246,19812230476.0,10314599770.0,30126830246.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,114.043.632.561,(2.262.281.226),111.781.351.335,114043632561.0,-2262281226.0,111781351335.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,7.897.105.730,-,7.897.105.730,7897105730.0,,7897105730.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,-,-,2.766.334.591.243,,,2766334591243.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,-,-,2.766.334.591.243,,,2766334591243.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,2.416.268.343.033,,,2416268343033.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,-,2.416.268.343.033,,,2416268343033.0
