row_label_raw,row_label_full,col_0,"Phương tiện vận tải, truyền dẫn",TSCĐ dùng trong quản lý,TSCĐ hữu hình khác,Cộng,"numeric__Phương tiện vận tải, truyền dẫn",numeric__TSCĐ dùng trong quản lý,numeric__TSCĐ hữu hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.448.329.091,979.334.974,72.495.900,5.500.159.965,4448329091.0,979334974.0,72495900.0,5500159965.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.448.329.091,979.334.974,72.495.900,5.500.159.965,4448329091.0,979334974.0,72495900.0,5500159965.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.316.681.114,905.234.324,72.495.900,3.294.411.338,2316681114.0,905234324.0,72495900.0,3294411338.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,426.127.665,9.996.980,-,436.124.645,426127665.0,9996980.0,,436124645.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.742.808.779,915.231.304,72.495.900,3.730.535.983,2742808779.0,915231304.0,72495900.0,3730535983.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,2.131.647.977,74.100.650,-,2.205.748.627,2131647977.0,74100650.0,,2205748627.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.705.520.312,64.103.670,-,1.769.623.982,1705520312.0,64103670.0,,1769623982.0
