row_label_raw,row_label_full,col_0,Giá trị số kế toán > 31/12/2017,Giá trị số kế toán > 17(Đã điều chỉnh),numeric__Giá trị số kế toán > 31/12/2017,numeric__Giá trị số kế toán > 17(Đã điều chỉnh)
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,VND,VND,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,479.716.013.073,467.403.010.000,479716013073.0,467403010000.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.286.568.734.210,1.319.825.957.473,1286568734210.0,1319825957473.0
Chỉ phí phải trả,Nợ phải trả tài chính > Chỉ phí phải trả,Chỉ phí phải trả,65.861.363.935,176.140.647.099,65861363935.0,176140647099.0
,,,1.832.146.111.218,1.963.369.614.572,1832146111218.0,1963369614572.0
