row_label_raw,row_label_full,MÃ số,CHỈ TIÊU,Thuyết minh,Năm 2017 VND,Năm 2016 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2017 VND,numeric__Năm 2016 VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23,30.126.830.246,192.159.087.799,,23.0,30126830246.0,192159087799.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,30.126.830.246,192.159.087.799,,,30126830246.0,192159087799.0
11,02 > 11,11,4. Giá vốn hàng bán,24,(81.654.521.089),142.095.735.572,,24.0,-81654521089.0,142095735572.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,111.781.351.335,50.063.352.227,,,111781351335.0,50063352227.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,25,9.075.214.291,53.756.463.304,,25.0,9075214291.0,53756463304.0
22,02 > 22,22,7. Chỉ phí tài chính,26,(56.053.684.695),309.008.405.783,,26.0,-56053684695.0,309008405783.0
23,02 > 23,23,Trong đó: Chỉ phí lãi vay,,(74.637.986.686),61.708.258.826,,,-74637986686.0,61708258826.0
25,02 > 25,25,8. Chỉ phí bán hàng,27,1.244.812.737,2.447.155.713,,27.0,1244812737.0,2447155713.0
26,02 > 26,26,9. Chỉ phí quản lý doanh nghiệp,28,793.970.042.678,559.002.265.816,,28.0,793970042678.0,559002265816.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,(618.304.605.094),(766.638.011.781),,,-618304605094.0,-766638011781.0
31,02 > 31,31,11. Thu nhập khác,,214.220.816,253.403.306,,,214220816.0,253403306.0
32,02 > 32,32,12. Chỉ phí khác,29,3.725.614.285,1.164.684.859,,29.0,3725614285.0,1164684859.0
40,02 > 40,40,13. Lợi nhuận khác,,(3.511.393.469),(911.281.553),,,-3511393469.0,-911281553.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,(621.815.998.563),(767.549.293.334),,,-621815998563.0,-767549293334.0
51,02 > 51,51,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,30,128.590.265,-,,30.0,128590265.0,
60,02 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,(621.944.588.828),(767.549.293.334),,,-621944588828.0,-767549293334.0
