row_label_raw,row_label_full,Công ty TNHH MM Mega Market (Việt Nam),31/12/2023 > 2.538.250.683,01/01/2023 > 2.189.325.727,numeric__31/12/2023 > 2.538.250.683,numeric__01/01/2023 > 2.189.325.727
Công ty TNHH Dịch vụ EB,Công ty TNHH Dịch vụ EB,Công ty TNHH Dịch vụ EB,2.654.937.103,2.878.505.004,2654937103.0,2878505004.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,47.217.431.595,30.175.130.025,47217431595.0,30175130025.0
Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,59.548.069.081,41.688.000.000,59548069081.0,41688000000.0
Công ty TNHH Frieslandcampina Hà Nam,Công ty TNHH Frieslandcampina Hà Nam,Công ty TNHH Frieslandcampina Hà Nam,3.363.994.516,2.924.114.970,3363994516.0,2924114970.0
Công ty TNHH Frieslandcampina Việt Nam,Công ty TNHH Frieslandcampina Việt Nam,Công ty TNHH Frieslandcampina Việt Nam,20.970.495.000,-,20970495000.0,
Công ty CP Thực phẩm Dinh Dương,Công ty CP Thực phẩm Dinh Dương,Công ty CP Thực phẩm Dinh Dương,-,31.675.570.500,,31675570500.0
Nutifood Bình Dương,Nutifood Bình Dương,Nutifood Bình Dương,,,,
Công ty CP Thực Phẩm Dinh Dương Nutifood Việt Nam,Nutifood Bình Dương > Công ty CP Thực Phẩm Dinh Dương Nutifood Việt Nam,Công ty CP Thực Phẩm Dinh Dương Nutifood Việt Nam,17.521.455.000,-,17521455000.0,
Các đối tượng khác,Nutifood Bình Dương > Các đối tượng khác,Các đối tượng khác,94.068.468.577,34.520.800.984,94068468577.0,34520800984.0
Cộng,Nutifood Bình Dương > Cộng,Cộng,247.883.101.555,146.051.447.210,247883101555.0,146051447210.0
