row_label_raw,row_label_full,Bảo cáo bộ phận theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Bảo cáo bộ phận theo hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,,,,,,,,
Doanh thu bộ phận,Bảo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,4.036.798.413.675,1.972.671.994.636,4.002.769.608.392,4.304.575.061.040,1.707.841.382.931,1.704.243.625.410,9.747.409.404.998,7.981.490.681.086,4036798413675.0,1972671994636.0,4002769608392.0,4304575061040.0,1707841382931.0,1704243625410.0,9747409404998.0,7981490681086.0
Giá vốn bộ phận,Bảo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,2.780.400.608.753,1.597.910.424.195,2.359.956.789.086,2.552.542.240.898,1.283.204.045.788,1.398.031.977.106,6.423.561.443.627,5.548.484.642.199,2780400608753.0,1597910424195.0,2359956789086.0,2552542240898.0,1283204045788.0,1398031977106.0,6423561443627.0,5548484642199.0
Lợi nhuận gộp,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,1.256.397.804.922,374.761.570.441,1.642.812.819.306,1.752.032.820.142,424.637.337.143,306.211.648.304,3.323.847.961.371,2.433.006.038.887,1256397804922.0,374761570441.0,1642812819306.0,1752032820142.0,424637337143.0,306211648304.0,3323847961371.0,2433006038887.0
Doanh thu hoạt động tài chính,Bảo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,507.722.088.414,330.772.924.133,,,,,,,507722088414.0,330772924133.0
Chi phí tài chính,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,138.891.494.695,83.722.680.028,,,,,,,138891494695.0,83722680028.0
Chi phí bán hàng,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,781.780.887.375,844.974.401.832,,,,,,,781780887375.0,844974401832.0
Chi phí quản lý doanh nghiệp,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,389.200.950.492,229.538.554.955,,,,,,,389200950492.0,229538554955.0
Lợi nhuận thuần từ hoạt động kinh doanh,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,2.521.696.717.223,1.605.543.326.205,,,,,,,2521696717223.0,1605543326205.0
Thu nhập khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,94.177.616.936,43.968.955.633,,,,,,,94177616936.0,43968955633.0
Chi phí khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,3.053.207.308,4.593.899.324,,,,,,,3053207308.0,4593899324.0
Lợi nhuận khác,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,91.124.409.628,39.375.056.309,,,,,,,91124409628.0,39375056309.0
Lợi nhuận trước thuế,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,2.612.821.126.851,1.644.918.382.514,,,,,,,2612821126851.0,1644918382514.0
Thuế TNDN,Bảo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,263.147.356.576,218.549.615.435,,,,,,,263147356576.0,218549615435.0
Lợi nhuận sau thuế TNDN,Bảo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,2.349.673.770.275,1.426.368.767.079,,,,,,,2349673770275.0,1426368767079.0
