row_label_raw,row_label_full,31/12/2023,Tài sân cúa bó phân > Nguyên giá TSCD HH,Tài sân cúa bó phân > Hao mòn luy ké,Tài sân cúa bó phân > Ný phái thu,Tài sân cúa bó phân > Tõng tài sân,Tài sân cúa bó phân > Ný phái trà,Khái hao TSCD Nám 2023,numeric__Tài sân cúa bó phân > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phân > Hao mòn luy ké,numeric__Tài sân cúa bó phân > Ný phái thu,numeric__Tài sân cúa bó phân > Tõng tài sân,numeric__Tài sân cúa bó phân > Ný phái trà,numeric__Khái hao TSCD Nám 2023
Hoát dōng SXKD sân phám Duòng,Hoát dōng SXKD sân phám Duòng,Hoát dōng SXKD sân phám Duòng,3.714.930.538.073,(1.885.360.525.937),409.514.989.748,2.504.949.114.986,165.543.576.530,219.267.312.886,3714930538073.0,-1885360525937.0,409514989748.0,2504949114986.0,165543576530.0,219267312886.0
Hoát dōng SXKD sân phám Sūrā dαu nanh,Hoát dōng SXKD sân phám Sūrā dαu nanh,Hoát dōng SXKD sân phám Sūrā dαu nanh,2.163.783.924.889,(1.822.349.155.176),96.922.592.379,989.005.768.060,168.360.214.580,80.260.339.896,2163783924889.0,-1822349155176.0,96922592379.0,989005768060.0,168360214580.0,80260339896.0
Hoát dōng SXKD khác,Hoát dōng SXKD khác,Hoát dōng SXKD khác,3.322.869.305.262,(1.843.802.515.578),155.254.463.009,9.356.671.796.233,3.296.565.039.598,140.435.399.473,3322869305262.0,-1843802515578.0,155254463009.0,9356671796233.0,3296565039598.0,140435399473.0
Tõng cóng,Tõng cóng,Tõng cóng,9.201.583.768.224,(5.551.512.196.691),661.692.045.136,12.850.626.679.279,3.630.468.830.708,439.963.052.255,9201583768224.0,-5551512196691.0,661692045136.0,12850626679279.0,3630468830708.0,439963052255.0
01/01/2023,01/01/2023,01/01/2023,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Khái hao TSCD Nám 2022,,,,,,
01/01/2023,01/01/2023,01/01/2023,Nguyên giá TSCD HH,Hao mòn luy ké,Ný phái thu,Tõng tài sân,Ný phái trà,Khái hao TSCD Nám 2022,,,,,,
Hoát dōng SXKD sân phám Duòng,01/01/2023 > Hoát dōng SXKD sân phám Duòng,Hoát dōng SXKD sân phám Duòng,3.682.654.401.617,(1.675.938.341.507),391.795.284.492,2.748.032.113.881,118.271.000.914,217.128.616.155,3682654401617.0,-1675938341507.0,391795284492.0,2748032113881.0,118271000914.0,217128616155.0
Hoát dōng SXKD sân phám Sūrā dαu nanh,01/01/2023 > Hoát dōng SXKD sân phám Sūrā dαu nanh,Hoát dōng SXKD sân phám Sūrā dαu nanh,2.083.135.588.367,(1.752.374.563.181),70.153.971.204,890.797.413.326,181.025.581.868,91.579.656.068,2083135588367.0,-1752374563181.0,70153971204.0,890797413326.0,181025581868.0,91579656068.0
Hoát dōng SXKD khác,01/01/2023 > Hoát dōng SXKD khác,Hoát dōng SXKD khác,3.285.699.891.742,(1.717.712.998.697),125.285.636.741,7.424.112.840.946,2.631.004.428.719,175.327.981.814,3285699891742.0,-1717712998697.0,125285636741.0,7424112840946.0,2631004428719.0,175327981814.0
Tõng cóng,01/01/2023 > Tõng cóng,Tõng cóng,9.051.489.881.726,(5.146.025.903.385),587.234.892.437,11.062.942.368.153,2.930.301.011.501,484.036.254.037,9051489881726.0,-5146025903385.0,587234892437.0,11062942368153.0,2930301011501.0,484036254037.0
