row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Từ ngày 09/10/2018 đến ngày 31/12/2018 VND,Từ ngày 01/01/2018 đến ngày 08/10/2018 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ ngày 09/10/2018 đến ngày 31/12/2018 VND,numeric__Từ ngày 01/01/2018 đến ngày 08/10/2018 VND
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Lợi nhuận trước thuế,,(1.393.350.080.952),30.367.697.683,,,-1393350080952.0,30367697683.0
01,01,01,Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,Khấu hao tài sản cố định và bất động sản đầu tư,,68.553.576.593,217.906.483.338,,,68553576593.0,217906483338.0
03,01 > 03,03,Các khoản dự phòng,,1.358.727.133.730,(391.012.156.291),,,1358727133730.0,-391012156291.0
04,01 > 04,04,"Lãi, lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,1.275.713.494,10.544.399.195,,,1275713494.0,10544399195.0
05,01 > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(1.547.221.473),(12.541.426.721),,,-1547221473.0,-12541426721.0
06,01 > 06,06,Chỉ phí lãi vay,,35.723.319.457,135.802.819.022,,,35723319457.0,135802819022.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,69.382.440.849,(8.932.183.774),,,69382440849.0,-8932183774.0
09,01 > 09,09,"Tăng, giảm các khoản phải thu",,528.976.537.651,(404.214.835.354),,,528976537651.0,-404214835354.0
10,01 > 10,10,"Tăng, giảm hàng tồn kho",,189.956.758.666,(960.902.524.395),,,189956758666.0,-960902524395.0
11,01 > 11,11,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,142.880.051.963,131.610.042.573,,,142880051963.0,131610042573.0
12,01 > 12,12,"Tăng, giảm chi phí trả trước",,(146.609.016.834),75.177.457.325,,,-146609016834.0,75177457325.0
14,01 > 14,14,Tiền lãi vay đã trả,,(61.887.906.883),(106.066.745.868),,,-61887906883.0,-106066745868.0
15,01 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(3.586.948.642),(25.373.327.869),,,-3586948642.0,-25373327869.0
16,01 > 16,16,Tiền thu khác từ hoạt động kinh doanh,,12.078.590.445,48.789.535.476,,,12078590445.0,48789535476.0
17,01 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(753.532.227),(24.174.061.658),,,-753532227.0,-24174061658.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,730.436.974.988,(1.274.086.643.544),,,730436974988.0,-1274086643544.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,01 > 21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(15.917.483.708),(51.183.515.617),,,-15917483708.0,-51183515617.0
22,01 > 22,22,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,776.427.272,771.929.091,,,776427272.0,771929091.0
23,01 > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(29.500.000.000),(52.000.000.000),,,-29500000000.0,-52000000000.0
24,01 > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,47.000.000.000,11.000.000.000,,,47000000000.0,11000000000.0
26,01 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,48.442.748.794,,,,48442748794.0
27,01 > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,1.204.048.260,19.690.683.150,,,1204048260.0,19690683150.0
30,01 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,3.562.991.824,(23.278.154.582),,,3562991824.0,-23278154582.0
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
33,01 > 33,33,Tiền thu từ di vay,,1.961.875.963.281,10.447.447.253.276,,,1961875963281.0,10447447253276.0
34,01 > 34,34,Tiền trả nợ gốc vay,,(2.598.443.833.743),(9.747.657.832.496),,,-2598443833743.0,-9747657832496.0
40,01 > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(636.567.870.462),699.789.420.780,,,-636567870462.0,699789420780.0
50,01 > 50,50,Lưu chuyển tiền thuần trong kỳ,,97.432.096.350,(597.575.377.346),,,97432096350.0,-597575377346.0
