row_label_raw,row_label_full,col_0,09/10/2018 > Giá trị,09/10/2018 > Số có khả năng trả ng,Trong kỳ > Tăng,Trong kỳ > Giảm,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả ng,numeric__09/10/2018 > Giá trị,numeric__09/10/2018 > Số có khả năng trả ng,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả ng
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,3.852.853.431.900,3.478.029.927.400,1.950.149.963.281,2.565.756.046.187,3.237.247.348.994,3.237.247.348.994,3852853431900.0,3478029927400.0,1950149963281.0,2565756046187.0,3237247348994.0,3237247348994.0
Ngân hàng TMCP Tiên Phong\( ^{(1)} \),a) Vay ngắn hạn > Ngân hàng TMCP Tiên Phong\( ^{(1)} \),Ngân hàng TMCP Tiên Phong\( ^{(1)} \),24.849.751.000,24.849.751.000,68.792.222.000,79.515.093.000,14.126.880.000,14.126.880.000,24849751000.0,24849751000.0,68792222000.0,79515093000.0,14126880000.0,14126880000.0
Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(2)} \),a) Vay ngắn hạn > Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(2)} \),Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(2)} \),694.046.589.507,694.046.589.507,618.378.692.480,686.749.005.652,625.676.276.335,625.676.276.335,694046589507.0,694046589507.0,618378692480.0,686749005652.0,625676276335.0,625676276335.0
Ngân hàng TMCP Công thương Việt Nam\( ^{(3)} \),a) Vay ngắn hạn > Ngân hàng TMCP Công thương Việt Nam\( ^{(3)} \),Ngân hàng TMCP Công thương Việt Nam\( ^{(3)} \),55.079.601.159,55.079.601.159,9.590.000.000,42.052.778.550,22.616.822.609,22.616.822.609,55079601159.0,55079601159.0,9590000000.0,42052778550.0,22616822609.0,22616822609.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam\( ^{(4)} \),a) Vay ngắn hạn > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam\( ^{(4)} \),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam\( ^{(4)} \),668.643.053.046,668.643.053.046,462.047.775.903,567.029.005.436,563.661.823.513,563.661.823.513,668643053046.0,668643053046.0,462047775903.0,567029005436.0,563661823513.0,563661823513.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam\( ^{(5)} \),a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam\( ^{(5)} \),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam\( ^{(5)} \),586.225.196.884,586.225.196.884,229.040.617.901,408.038.216.002,407.227.598.783,407.227.598.783,586225196884.0,586225196884.0,229040617901.0,408038216002.0,407227598783.0,407227598783.0
Ngân hàng TMCP Quản đội\( ^{(6)} \),a) Vay ngắn hạn > Ngân hàng TMCP Quản đội\( ^{(6)} \),Ngân hàng TMCP Quản đội\( ^{(6)} \),109.470.882.667,109.470.882.667,95.298.050.997,8.224.325.355,196.544.608.309,196.544.608.309,109470882667.0,109470882667.0,95298050997.0,8224325355.0,196544608309.0,196544608309.0
Công ty CP Thương mại Địa ốc Việt\( ^{(7)} \),a) Vay ngắn hạn > Công ty CP Thương mại Địa ốc Việt\( ^{(7)} \),Công ty CP Thương mại Địa ốc Việt\( ^{(7)} \),900.000.000,900.000.000,,,900.000.000,900.000.000,900000000.0,900000000.0,,,900000000.0,900000000.0
