row_label_raw,row_label_full,col_0,Mã số,Phân loại và trìnhbảy lại > VND,Đã trình bày trênbáo cáo năm trước > VND,numeric__Mã số,numeric__Phân loại và trìnhbảy lại > VND,numeric__Đã trình bày trênbáo cáo năm trước > VND
Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,,,
Vốn đầu tư của chủ sở hữu,Băng cân đối kế toán hợp nhất > Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,411,5.000.000.000.000,5.275.338.915.672,411.0,5000000000000.0,5275338915672.0
Quỹ khác thuộc vốn chủ sở hữu,Băng cân đối kế toán hợp nhất > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,248.545.027.781,-,420.0,248545027781.0,
Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,(479.639.698.266),(506.433.586.157),421.0,-479639698266.0,-506433586157.0
- Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,Băng cân đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,- Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,421a,(431.586.588.430),388.831.226.662,,-431586588430.0,388831226662.0
- Lợi nhuận sau thuế chưa phân phối kỳ này,Băng cân đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,(48.053.109.836),(895.264.812.819),,-48053109836.0,-895264812819.0
