row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoài,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoài,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,5.000.000.000.000,2.890.195.478,452.222.999,-215.070.235.809,-12.304.926.032,85.866.483.306,248.545.027.781,-479.639.698.266,202.315.552.970,4.833.054.622.427,5000000000000.0,2890195478.0,452222999.0,-215070235809.0,-12304926032.0,85866483306.0,248545027781.0,-479639698266.0,202315552970.0,4833054622427.0
Lỗ trong kỳ này,Lỗ trong kỳ này,Lỗ trong kỳ này,-,-,-,-,-,-,-,-1.485.088.769.463,-3.107.005.270,-1.488.195.774.733,,,,,,,,-1485088769463.0,-3107005270.0,-1488195774733.0
Chi thù lao HDQT,Chi thù lao HDQT,Chi thù lao HDQT,-,-,-,-,-,-,-,-16.560.000,-11.040.000,-27.600.000,,,,,,,,-16560000.0,-11040000.0,-27600000.0
Kết chuyển chênh lệch tỷ giá,Kết chuyển chênh lệch tỷ giá,Kết chuyển chênh lệch tỷ giá,-,-,-,-,12.304.926.032,-,-,-,-,12.304.926.032,,,,,12304926032.0,,,,,12304926032.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,-,-,7.325.690,7.038.409,14.364.099,,,,,,,,7325690.0,7038409.0,14364099.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,5.000.000.000.000,2.890.195.478,452.222.999,-215.070.235.809,-,85.866.483.306,248.545.027.781,-1.964.737.702.039,199.204.546.109,3.357.150.537.825,5000000000000.0,2890195478.0,452222999.0,-215070235809.0,,85866483306.0,248545027781.0,-1964737702039.0,199204546109.0,3357150537825.0
