row_label_raw,row_label_full,5 . PHẢI THU CỦA KHÁCH HÀNG,5 . PHẢI THU CỦA KHÁCH HÀNG_1,5 . PHẢI THU CỦA KHÁCH HÀNG_2,5 . PHẢI THU CỦA KHÁCH HÀNG_3,5 . PHẢI THU CỦA KHÁCH HÀNG_4,numeric__5 . PHẢI THU CỦA KHÁCH HÀNG_1,numeric__5 . PHẢI THU CỦA KHÁCH HÀNG_2,numeric__5 . PHẢI THU CỦA KHÁCH HÀNG_3,numeric__5 . PHẢI THU CỦA KHÁCH HÀNG_4
,,,31/12/2018,31/12/2018,09/10/2018,09/10/2018,,,,
,,,Giá trịVND,Dự phòngVND,Giá trịVND,Dự phòngVND,,,,
a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,,,,
- Hồ trợ chính phủ Cuba (*),a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Hồ trợ chính phủ Cuba (*),- Hồ trợ chính phủ Cuba (*),595.149.412.491,-,599.119.636.676,-,595149412491.0,,599119636676.0,
- Tổng Công ty Lương thực miền Bắc,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Tổng Công ty Lương thực miền Bắc,- Tổng Công ty Lương thực miền Bắc,6.031.961.388,-,187.355.295.648,-,6031961388.0,,187355295648.0,
"- Henan Huanggou Grain Industry Co., Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Henan Huanggou Grain Industry Co., Ltd","- Henan Huanggou Grain Industry Co., Ltd",61.131.731.250,-,83.158.425.000,-,61131731250.0,,83158425000.0,
- Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,- Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,58.768.539.483,(54.964.914.483),58.768.539.483,-,58768539483.0,-54964914483.0,58768539483.0,
- Công ty Cổ phần Lương thực Hậu Giang,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty Cổ phần Lương thực Hậu Giang,- Công ty Cổ phần Lương thực Hậu Giang,54.389.922.317,(54.389.922.317),54.389.922.317,(39.280.468.439),54389922317.0,-54389922317.0,54389922317.0,-39280468439.0
- Công ty TNHH Thủy sản Biển Đông,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty TNHH Thủy sản Biển Đông,- Công ty TNHH Thủy sản Biển Đông,28.149.452.159,-,23.538.153.989,-,28149452159.0,,23538153989.0,
- Sima Marketing PTE,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Sima Marketing PTE,- Sima Marketing PTE,16.861.205.941,(16.861.205.941),16.861.205.941,-,16861205941.0,-16861205941.0,16861205941.0,
- Các khoản phải thu khác,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Các khoản phải thu khác,- Các khoản phải thu khác,420.096.005.706,(102.017.764.858),739.077.623.137,(37.000.861.695),420096005706.0,-102017764858.0,739077623137.0,-37000861695.0
,,,1.240.578.230.735,(228.233.807.599),1.762.268.802.191,(76.281.330.134),1240578230735.0,-228233807599.0,1762268802191.0,-76281330134.0
b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,,,,
- Các khoản phải thu khách hàng ngắn hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Các khoản phải thu khách hàng ngắn hạn,- Các khoản phải thu khách hàng ngắn hạn,645.428.818.244,(228.233.807.599),1.163.149.165.515,(76.281.330.134),645428818244.0,-228233807599.0,1163149165515.0,-76281330134.0
- Các khoản phải thu khách hàng dài hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Các khoản phải thu khách hàng dài hạn,- Các khoản phải thu khách hàng dài hạn,595.149.412.491,-,599.119.636.676,-,595149412491.0,,599119636676.0,
,,,1.240.578.230.735,(228.233.807.599),1.762.268.802.191,(76.281.330.134),1240578230735.0,-228233807599.0,1762268802191.0,-76281330134.0
