row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 08/10/2018,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018
,,,VND,VND,,
"Lãi tiền gửi, lãi cho vay","Lãi tiền gửi, lãi cho vay","Lãi tiền gửi, lãi cho vay",1.028.815.384,3.899.694.937,1028815384.0,3899694937.0
"Chiết khấu thanh toán, lãi bán hàng trả chậm","Chiết khấu thanh toán, lãi bán hàng trả chậm","Chiết khấu thanh toán, lãi bán hàng trả chậm",76.544.843,116.735.970,76544843.0,116735970.0
Lãi bán các khoản đầu tư,Lãi bán các khoản đầu tư,Lãi bán các khoản đầu tư,-,687.883.000,,687883000.0
Lãi bán ngoại tệ,Lãi bán ngoại tệ,Lãi bán ngoại tệ,69.023.494,473.460.855,69023494.0,473460855.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",99.701.600,7.522.943.317,99701600.0,7522943317.0
Lãi chênh lệch tỷ giá phát sinh trong kỳ,Lãi chênh lệch tỷ giá phát sinh trong kỳ,Lãi chênh lệch tỷ giá phát sinh trong kỳ,8.321.240.185,35.569.961.079,8321240185.0,35569961079.0
Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối kỳ,Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối kỳ,Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối kỳ,1.071.307.589,8.992.179,1071307589.0,8992179.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,149.855.367,372.664.277,149855367.0,372664277.0
,,,10.816.488.462,48.652.335.614,10816488462.0,48652335614.0
