row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018VND,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018VND
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,(1.485.088.769.463),-1485088769463.0
Lợi nhuận phân bổ cho cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ phiếu phổ thông,(1.485.088.769.463),-1485088769463.0
Cổ phiếu phổ thông lưu hành bình quân trong kỳ,Cổ phiếu phổ thông lưu hành bình quân trong kỳ,Cổ phiếu phổ thông lưu hành bình quân trong kỳ,500.000.000,500000000.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,(2.970),-2970.0
