row_label_raw,row_label_full,"Giá trị còn lại và chi phí từ nhượng bán, thanh lý tài sản cố định",Từ ngày 09/10/2018đến ngày 31/12/2018VND > -,Từ ngày 01/01/2018đến ngày 08/10/2018VND > 504.007.814,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018VND > -,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018VND > 504.007.814
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,239.255.496,1.808.578.607,239255496.0,1808578607.0
Chi thù lao cho người đại diện vốn,Chi thù lao cho người đại diện vốn,Chi thù lao cho người đại diện vốn,-,406.100.000,,406100000.0
Ảnh hưởng do xác định lại GTDN trong giai đoạn CPH được xử lý trong kỳ,Ảnh hưởng do xác định lại GTDN trong giai đoạn CPH được xử lý trong kỳ,Ảnh hưởng do xác định lại GTDN trong giai đoạn CPH được xử lý trong kỳ,-,5.125.387.073,,5125387073.0
Chi phí khấu hao tài sản ngưng hoạt động,Chi phí khấu hao tài sản ngưng hoạt động,Chi phí khấu hao tài sản ngưng hoạt động,4.873.818.659,12.220.883.551,4873818659.0,12220883551.0
Lãi quá hạn,Lãi quá hạn,Lãi quá hạn,428.114.286,1.325.576.032,428114286.0,1325576032.0
Tiền thuế đất nộp tăng do điều chỉnh đơn giá,Tiền thuế đất nộp tăng do điều chỉnh đơn giá,Tiền thuế đất nộp tăng do điều chỉnh đơn giá,1.439.134.117,-,1439134117.0,
Chi hộ VNM chương trình giảm giá 5% (CN Khánh Hòa),Chi hộ VNM chương trình giảm giá 5% (CN Khánh Hòa),Chi hộ VNM chương trình giảm giá 5% (CN Khánh Hòa),82.980.165,1.272.695.720,82980165.0,1272695720.0
Thù lao HDQT không chuyên trách,Thù lao HDQT không chuyên trách,Thù lao HDQT không chuyên trách,88.200.000,58.500.000,88200000.0,58500000.0
Chi phí ăn phí và bồi thường,Chi phí ăn phí và bồi thường,Chi phí ăn phí và bồi thường,-,2.176.571.238,,2176571238.0
Chi phí đầu tư xây dựng cơ bản không tiếp tục thực hiện,Chi phí đầu tư xây dựng cơ bản không tiếp tục thực hiện,Chi phí đầu tư xây dựng cơ bản không tiếp tục thực hiện,-,775.701.440,,775701440.0
Chi phí khác,Chi phí khác,Chi phí khác,7.411.281.766,3.862.810.391,7411281766.0,3862810391.0
,,,14.562.784.489,29.536.811.866,14562784489.0,29536811866.0
