row_label_raw,row_label_full,col_0,Số phải thu đầu kỳ,Số phải nộp đầu kỳ,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,Số phải thu cuối kỳ,Số phải nộp cuối kỳ,numeric__Số phải thu đầu kỳ,numeric__Số phải nộp đầu kỳ,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__Số phải thu cuối kỳ,numeric__Số phải nộp cuối kỳ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,198.979.710,7.414.470.353,12.611.714.956,14.102.545.006,200.268.887,5.924.929.480,198979710.0,7414470353.0,12611714956.0,14102545006.0,200268887.0,5924929480.0
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,5.351.387.073,3.904.097.035,7.816.460.799,3.586.948.642,4.606.604.404,7.388.826.523,5351387073.0,3904097035.0,7816460799.0,3586948642.0,4606604404.0,7388826523.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,932.267.506,130.221.013,1.502.827.429,904.947.624,936.458.723,732.292.035,932267506.0,130221013.0,1502827429.0,904947624.0,936458723.0,732292035.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,10.250.060,55.588.890,45.896.350,-,19.942.600,,10250060.0,55588890.0,45896350.0,,19942600.0
"Thuế Nhà đất, tiền thuê đất","Thuế Nhà đất, tiền thuê đất","Thuế Nhà đất, tiền thuê đất",1.599.208.770,7.239.003.672,19.667.198.510,21.937.935.215,53.441.483,3.422.499.680,1599208770.0,7239003672.0,19667198510.0,21937935215.0,53441483.0,3422499680.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,11.191.795,11.054.395,-,137.400,,,11191795.0,11054395.0,,137400.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,2.434.594,141.023.724,143.458.318,-,-,,2434594.0,141023724.0,143458318.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,80.887.176,55.393.143,55.393.143,-,80.887.176,,80887176.0,55393143.0,55393143.0,,80887176.0
,,,8.081.843.059,18.781.363.903,41.861.399.246,40.788.178.693,5.796.773.497,17.569.514.894,8081843059.0,18781363903.0,41861399246.0,40788178693.0,5796773497.0,17569514894.0
