row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 08/10/2018,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018
,,,VND,VND,,
"Thu nhập từ nhượng bán, thanh lý tài sản cố định","Thu nhập từ nhượng bán, thanh lý tài sản cố định","Thu nhập từ nhượng bán, thanh lý tài sản cố định",518.406.089,382.138.440,518406089.0,382138440.0
Thu nhập từ tiền thường giải phóng tàu nhanh,Thu nhập từ tiền thường giải phóng tàu nhanh,Thu nhập từ tiền thường giải phóng tàu nhanh,188.606.727,761.549.083,188606727.0,761549083.0
Thu nhập từ thù lao của người đại diện vốn,Thu nhập từ thù lao của người đại diện vốn,Thu nhập từ thù lao của người đại diện vốn,132.500.000,586.000.000,132500000.0,586000000.0
Thu nhập từ tiền bồi thường tổn thất hàng hóa,Thu nhập từ tiền bồi thường tổn thất hàng hóa,Thu nhập từ tiền bồi thường tổn thất hàng hóa,221.711.301,882.624.277,221711301.0,882624277.0
"Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng","Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng","Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng",661.944.743,7.885.860.719,661944743.0,7885860719.0
Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,110.628.183,1.251.818.182,110628183.0,1251818182.0
"Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC","Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC","Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC",406.298.174,663.444.078,406298174.0,663444078.0
Thu nhập từ tiền thường đạt doanh số,Thu nhập từ tiền thường đạt doanh số,Thu nhập từ tiền thường đạt doanh số,-,1.075.768.037,,1075768037.0
Thu nhập từ xử lý tài sản thừa trong kiểm kê,Thu nhập từ xử lý tài sản thừa trong kiểm kê,Thu nhập từ xử lý tài sản thừa trong kiểm kê,391.421.304,1.199.979.418,391421304.0,1199979418.0
Thu nhập từ bán trấu,Thu nhập từ bán trấu,Thu nhập từ bán trấu,-,1.624.190.000,,1624190000.0
Thu tiền bồi thường do hủy hợp đồng xuất khẩu,Thu tiền bồi thường do hủy hợp đồng xuất khẩu,Thu tiền bồi thường do hủy hợp đồng xuất khẩu,172.576.876,2.451.700.000,172576876.0,2451700000.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,15.050.826.309,13.057.024.794,15050826309.0,13057024794.0
,,,17.854.919.706,31.822.097.028,17854919706.0,31822097028.0
