row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,847.070.487.071,10.147.305.826,1.180.018.265,858.397.811.162,847070487071.0,10147305826.0,1180018265.0,858397811162.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.724.515.000),-,-,(3.724.515.000),-3724515000.0,,,-3724515000.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,843.345.972.071,10.147.305.826,1.180.018.265,854.673.296.162,843345972071.0,10147305826.0,1180018265.0,854673296162.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,27.283.351.896,9.454.797.123,1.067.613.019,37.805.762.038,27283351896.0,9454797123.0,1067613019.0,37805762038.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,718.242.479,80.900.996,3.564.115,802.707.590,718242479.0,80900996.0,3564115.0,802707590.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,28.001.594.375,9.535.698.119,1.071.177.134,38.608.469.628,28001594375.0,9535698119.0,1071177134.0,38608469628.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,819.787.135.175,692.508.703,112.405.246,820.592.049.124,819787135175.0,692508703.0,112405246.0,820592049124.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,815.344.377.696,611.607.707,108.841.131,816.064.826.534,815344377696.0,611607707.0,108841131.0,816064826534.0
