row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.582.565.109,118.563.749.844,176.146.314.953,57582565109.0,118563749844.0,176146314953.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,5.207.572.036,5.207.572.036,,5207572036.0,5207572036.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,5.483.471.740,5.483.471.740,,5483471740.0,5483471740.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.582.565.109,129.254.793.620,186.837.358.729,57582565109.0,129254793620.0,186837358729.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.608.069.186,102.640.109.440,114.248.178.626,11608069186.0,102640109440.0,114248178626.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,7.120.635.839,7.120.635.839,,7120635839.0,7120635839.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.608.069.186,109.760.745.279,121.368.814.465,11608069186.0,109760745279.0,121368814465.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,45.974.495.923,15.923.640.404,61.898.136.327,45974495923.0,15923640404.0,61898136327.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,45.974.495.923,19.494.048.341,65.468.544.264,45974495923.0,19494048341.0,65468544264.0
