row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định,2021 VND > 1.628.864.574.589 > -,2020 VND > 1.583.122.407.300 > 160.800.000,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định,numeric__2021 VND > 1.628.864.574.589 > -,numeric__2020 VND > 1.583.122.407.300 > 160.800.000
Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Mua hàng hóa,582.930.118.200,540.710.334.200,,,582930118200.0,540710334200.0
Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Góp vốn,-,65.000.000.000,,,,65000000000.0
Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Lợi nhuận được chia,100.000.000.000,-,,,100000000000.0,
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa,91.200.574.500,15.944.261.000,,,91200574500.0,15944261000.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Mua hàng hóa,26.429.121.500,-,,,26429121500.0,
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định,-,57.001.849.566,,,,57001849566.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Lợi nhuận được chia,174.589.984.800,-,,,174589984800.0,
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Góp vốn,339.809.203.658,441.569.823.988,,,339809203658.0,441569823988.0
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con,Mua hàng hóa,-,360.518.145.708,,,,360518145708.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua hàng hóa,472.799.393.467,206.311.293.766,,,472799393467.0,206311293766.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua cổ phiếu,292.133.700.000,-,,,292133700000.0,
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Hàng hóa tăng,2.493.344,-,,,2493344.0,
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Cổ tức được chia,24.344.475.000,-,,,24344475000.0,
Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev,Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev,Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev,Công ty con,Góp vốn,204.000.000.000,-,,,204000000000.0,
Miraka Holdings Limited,Miraka Holdings Limited,Miraka Holdings Limited,Công ty liên kết,Mua hàng hóa,155.017.742.176,325.836.306.170,,,155017742176.0,325836306170.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Mua hàng hóa và dịch vụ,233.374.210.894,77.113.561.028,,,233374210894.0,77113561028.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Cổ tức được chia,2.600.000.000,-,,,2600000000.0,
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua dịch vụ,22.901.079.806,24.243.112.320,,,22901079806.0,24243112320.0
"Del Monte – Vinamilk Dairy Inc., Philippines","Del Monte – Vinamilk Dairy Inc., Philippines","Del Monte – Vinamilk Dairy Inc., Philippines",Công ty liên doanh,Góp vốn,22.810.312.500,-,,,22810312500.0,
