row_label_raw,row_label_full,col_0,31/12/2021 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,31/12/2021 > Giá gốcVND,31/12/2021 > Giá trịhợp lýVND,31/12/2021 > Dự phònggiảm giáVND,1/1/2021 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,1/1/2021 > Giá gốcVND,1/1/2021 > Giá trịhợp lýVND,1/1/2021 > Dự phònggiảm giáVND,numeric__31/12/2021 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,numeric__31/12/2021 > Giá gốcVND,numeric__31/12/2021 > Giá trịhợp lýVND,numeric__31/12/2021 > Dự phònggiảm giáVND,numeric__1/1/2021 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,numeric__1/1/2021 > Giá gốcVND,numeric__1/1/2021 > Giá trịhợp lýVND,numeric__1/1/2021 > Dự phònggiảm giáVND
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",,,,,,,,
▪ Miraka Holdings Limited,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Miraka Holdings Limited",▪ Miraka Holdings Limited,"22,81%",293.189.808.669,(*),-,"22,81%",293.189.808.669,(*),-,0.2281,293189808669.0,,,0.2281,293189808669.0,,
▪ Công ty Cổ phần APIS,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần APIS",▪ Công ty Cổ phần APIS,"20,00%",20.350.000.000,(*),-,"20,00%",20.350.000.000,(*),-,0.2,20350000000.0,,,0.2,20350000000.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu",▪ Công ty Cổ phần Chế biến Dừa Á Châu,"25,00%",86.830.000.000,(*),-,"25,00%",86.830.000.000,(*),(7.620.478.814),0.25,86830000000.0,,,0.25,86830000000.0,,-7620478814.0
"▪ Del Monte – Vinamilk Dairy Inc.,Philippines (vi)","Đầu tư vào các công ty liên doanh, liên kết > ▪ Del Monte – Vinamilk Dairy Inc.,Philippines (vi)","▪ Del Monte – Vinamilk Dairy Inc.,Philippines (vi)","50,00%",23.227.732.575,(*),-,-,-,-,-,0.5,23227732575.0,,,,,,
,,,,423.597.541.244,,-,,400.369.808.669,,(7.620.478.814),,423597541244.0,,,,400369808669.0,,-7620478814.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,"14,71%",18.000.000.000,,-,"14,71%",18.000.000.000,(*),-,0.1471,18000000000.0,,,0.1471,18000000000.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,,-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
,,,,18.300.000.000,,-,,18.300.000.000,,-,,18300000000.0,,,,18300000000.0,,
,,,,11.334.370.695.528,,-,,10.534.426.339.295,,(7.620.478.814),,11334370695528.0,,,,10534426339295.0,,-7620478814.0
