row_label_raw,row_label_full,col_0,31/12/2021 > % vốn sở hữu và quyền biểu quyết trực tiếp,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị hợp lý VND,31/12/2021 > Dự phòng giảm giá VND,1/1/2021 > % vốn sở hữu và quyền biểu quyết trực tiếp,1/1/2021 > Giá gốc VND,1/1/2021 > Giá trị hợp lý VND,1/1/2021 > Dự phòng giảm giá VND,numeric__31/12/2021 > % vốn sở hữu và quyền biểu quyết trực tiếp,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Dự phòng giảm giá VND,numeric__1/1/2021 > % vốn sở hữu và quyền biểu quyết trực tiếp,numeric__1/1/2021 > Giá gốc VND,numeric__1/1/2021 > Giá trị hợp lý VND,numeric__1/1/2021 > Dự phòng giảm giá VND
Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,,,,,,,,
▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Đầu tư góp vốn vào các công ty con > ▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,"100,00%",2.250.780.000.000,(*),-,"100,00%",2.250.780.000.000,(*),-,1.0,2250780000000.0,,,1.0,2250780000000.0,,
▪ Driftwood Dairy Holding Corporation,Đầu tư góp vốn vào các công ty con > ▪ Driftwood Dairy Holding Corporation,▪ Driftwood Dairy Holding Corporation,"100,00%",458.395.918.429,(*),-,"100,00%",458.395.918.429,(*),-,1.0,458395918429.0,,,1.0,458395918429.0,,
▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia (i),Đầu tư góp vốn vào các công ty con > ▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia (i),▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia (i),-,-,,-,"100,00%",66.463.150.000,(*),-,,,,,1.0,66463150000.0,,
"▪ Angkor Dairy Products Co, Ltd.","Đầu tư góp vốn vào các công ty con > ▪ Angkor Dairy Products Co, Ltd.","▪ Angkor Dairy Products Co, Ltd.","100,00%",464.289.241.751,(*),-,"100,00%",464.289.241.751,(*),-,1.0,464289241751.0,,,1.0,464289241751.0,,
▪ Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,Đầu tư góp vốn vào các công ty con > ▪ Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,▪ Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hóa,"100,00%",1.181.682.699.703,(*),-,"100,00%",1.181.682.699.703,(*),-,1.0,1181682699703.0,,,1.0,1181682699703.0,,
▪ Công ty Cổ phần Đường Việt Nam,Đầu tư góp vốn vào các công ty con > ▪ Công ty Cổ phần Đường Việt Nam,▪ Công ty Cổ phần Đường Việt Nam,"65,00%",1.253.306.061.273,(*),-,"65,00%",1.253.306.061.273,(*),-,0.65,1253306061273.0,,,0.65,1253306061273.0,,
"▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (ii)","Đầu tư góp vốn vào các công ty con > ▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (ii)","▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (ii)","85,54%",1.354.106.718.292,(*),-,"80,29%",993.507.514.634,(*),-,0.8554,1354106718292.0,,,0.8029000000000001,993507514634.0,,
▪ Công ty Cổ phần GTNFoods (iii),Đầu tư góp vốn vào các công ty con > ▪ Công ty Cổ phần GTNFoods (iii),▪ Công ty Cổ phần GTNFoods (iii),"75,00%",3.447.331.944.836,(*),-,"75,30%",3.447.331.944.836,(*),-,0.75,3447331944836.0,,,0.753,3447331944836.0,,
▪ Công ty Cổ phần Giống Bò sữa Mộc Châu (iv),Đầu tư góp vốn vào các công ty con > ▪ Công ty Cổ phần Giống Bò sữa Mộc Châu (iv),▪ Công ty Cổ phần Giống Bò sữa Mộc Châu (iv),"8,85%",277.647.015.000,(*),-,-,-,,-,0.0885,277647015000.0,,,,,,
▪ Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev (v),Đầu tư góp vốn vào các công ty con > ▪ Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev (v),▪ Công ty TNHH Liên doanh Thực phẩm và Đồ uống Vibev (v),"51,00%",204.933.555.000,(*),-,-,-,,-,0.51,204933555000.0,,,,,,
,,,,10.892.473.154.284,,-,,10.115.756.530.626,,-,,10892473154284.0,,,,10115756530626.0,,
