row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.395.207.990.163,13.028.756.501.186,970.631.275.429,583.699.540.364,16.978.295.307.142,2395207990163.0,13028756501186.0,970631275429.0,583699540364.0,16978295307142.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.606.679.459,76.707.703.839,29.681.572.545,28.070.397.437,136.066.353.280,1606679459.0,76707703839.0,29681572545.0,28070397437.0,136066353280.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,9.826.573.396,132.378.950.571,7.628.735.226,1.601.321.864,151.435.581.057,9826573396.0,132378950571.0,7628735226.0,1601321864.0,151435581057.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(16.828.971.741),(512.435.700),-,-,(17.341.407.441),-16828971741.0,-512435700.0,,,-17341407441.0
Thanh lý/xóa sổ,Nguyên giá > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(765.629.416),(31.810.099.339),(11.328.215.321),(4.791.128.721),(48.695.072.797),-765629416.0,-31810099339.0,-11328215321.0,-4791128721.0,-48695072797.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,122.000.000,-,122.000.000,,,122000000.0,,122000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.389.046.641.861,13.205.520.620.557,996.735.367.879,608.580.130.944,17.199.882.761.241,2389046641861.0,13205520620557.0,996735367879.0,608580130944.0,17199882761241.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,943.639.201.931,7.441.024.384.126,577.578.466.471,439.846.388.188,9.402.088.440.716,943639201931.0,7441024384126.0,577578466471.0,439846388188.0,9402088440716.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,101.807.970.738,1.081.637.342.967,82.071.374.751,41.427.985.401,1.306.944.673.857,101807970738.0,1081637342967.0,82071374751.0,41427985401.0,1306944673857.0
Chuyển sang bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(13.220.276.630),(445.331.025),-,-,(13.665.607.655),-13220276630.0,-445331025.0,,,-13665607655.0
Thanh lý/xóa sổ,Giá trị hao mòn lũy kế > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(641.785.950),(31.292.786.756),(10.152.682.885),(4.791.128.721),(46.878.384.312),-641785950.0,-31292786756.0,-10152682885.0,-4791128721.0,-46878384312.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.031.585.110.089,8.490.923.609.312,649.497.158.337,476.483.244.868,10.648.489.122.606,1031585110089.0,8490923609312.0,649497158337.0,476483244868.0,10648489122606.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.451.568.788.232,5.587.732.117.060,393.052.808.958,143.853.152.176,7.576.206.866.426,1451568788232.0,5587732117060.0,393052808958.0,143853152176.0,7576206866426.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.357.461.531.772,4.714.597.011.245,347.238.209.542,132.096.886.076,6.551.393.638.635,1357461531772.0,4714597011245.0,347238209542.0,132096886076.0,6551393638635.0
