row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Cơ sở hạ tầng VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Cơ sở hạ tầng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,38.884.288.170,469.928.364,38.147.442.455,77.501.658.989,38884288170.0,469928364.0,38147442455.0,77501658989.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,512.435.700,16.828.971.741,17.341.407.441,,512435700.0,16828971741.0,17341407441.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,38.884.288.170,982.364.064,54.976.414.196,94.843.066.430,38884288170.0,982364064.0,54976414196.0,94843066430.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.819.417.278,469.928.364,12.110.704.443,18.400.050.085,5819417278.0,469928364.0,12110704443.0,18400050085.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,793.556.901,61.004.250,2.612.603.324,3.467.164.475,793556901.0,61004250.0,2612603324.0,3467164475.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,445.331.025,13.220.276.630,13.665.607.655,,445331025.0,13220276630.0,13665607655.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.612.974.179,976.263.639,27.943.584.397,35.532.822.215,6612974179.0,976263639.0,27943584397.0,35532822215.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,33.064.870.892,-,26.036.738.012,59.101.608.904,33064870892.0,,26036738012.0,59101608904.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,32.271.313.991,6.100.425,27.032.829.799,59.310.244.215,32271313991.0,6100425.0,27032829799.0,59310244215.0
