row_label_raw,row_label_full,Bà Lê Thị Băng Tâm,Chủ tịch,numeric__Chủ tịch
Bà Mai Kiều Liên,Bà Mai Kiều Liên,Bà Mai Kiều Liên,Thành viên,
Ông Lee Meng Tat,Ông Lee Meng Tat,Ông Lee Meng Tat,Thành viên,
Bà Đăng Thị Thu Hà,Bà Đăng Thị Thu Hà,Bà Đăng Thị Thu Hà,Thành viên,
Ông Lê Thành Liêm,Ông Lê Thành Liêm,Ông Lê Thành Liêm,Thành viên,
Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah,Thành viên,
Ông Đỗ Lê Hùng,Ông Đỗ Lê Hùng,Ông Đỗ Lê Hùng,Thành viên,
Ông Alain Xavier Cany,Ông Alain Xavier Cany,Ông Alain Xavier Cany,Thành viên,
Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Thành viên,
,,,(đến ngày 26 tháng 4 năm 2021),
Bà Tiêu Yến Trình,Bà Tiêu Yến Trình,Bà Tiêu Yến Trình,Thành viên,
,,,(từ ngày 26 tháng 4 năm 2021),
Ông Hoàng Ngọc Thạch,Ông Hoàng Ngọc Thạch,Ông Hoàng Ngọc Thạch,Thành viên,
,,,(từ ngày 26 tháng 4 năm 2021),
