row_label_raw,row_label_full,col_0,2021Triệu VND,numeric__2021Triệu VND
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,
Tổng thù lao,Tổng thù lao,Tổng thù lao,,
Bà Lê Thị Băng Tâm – Chủ tịch,Tổng thù lao > Bà Lê Thị Băng Tâm – Chủ tịch,Bà Lê Thị Băng Tâm – Chủ tịch,3.646,3646.0
Bà Mai Kiều Liên – Thành viên (i),Tổng thù lao > Bà Mai Kiều Liên – Thành viên (i),Bà Mai Kiều Liên – Thành viên (i),2.118,2118.0
Ông Lee Meng Tat – Thành viên,Tổng thù lao > Ông Lee Meng Tat – Thành viên,Ông Lee Meng Tat – Thành viên,2.458,2458.0
Bà Đặng Thị Thu Hà – Thành viên,Tổng thù lao > Bà Đặng Thị Thu Hà – Thành viên,Bà Đặng Thị Thu Hà – Thành viên,2.495,2495.0
Ông Lê Thành Liêm – Thành viên (ii),Tổng thù lao > Ông Lê Thành Liêm – Thành viên (ii),Ông Lê Thành Liêm – Thành viên (ii),1.064,1064.0
Ông Michael Chye Hin Fah – Thành viên,Tổng thù lao > Ông Michael Chye Hin Fah – Thành viên,Ông Michael Chye Hin Fah – Thành viên,2.712,2712.0
Ông Đỗ Lê Hùng – Thành viên,Tổng thù lao > Ông Đỗ Lê Hùng – Thành viên,Ông Đỗ Lê Hùng – Thành viên,2.458,2458.0
Ông Alain Xavier Cany – Thành viên,Tổng thù lao > Ông Alain Xavier Cany – Thành viên,Ông Alain Xavier Cany – Thành viên,2.675,2675.0
Bà Nguyễn Thị Thẩm – Thành viên,Tổng thù lao > Bà Nguyễn Thị Thẩm – Thành viên,Bà Nguyễn Thị Thẩm – Thành viên,1.046,1046.0
Bà Tiêu Yến Trinh – Thành viên,Tổng thù lao > Bà Tiêu Yến Trinh – Thành viên,Bà Tiêu Yến Trinh – Thành viên,920,920.0
Ông Hoàng Ngọc Thạch – Thành viên,Tổng thù lao > Ông Hoàng Ngọc Thạch – Thành viên,Ông Hoàng Ngọc Thạch – Thành viên,1.280,1280.0
