row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,Mẫu B 09-DN/HN,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,numeric__Mẫu B 09-DN/HN
5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),,,,,,,
e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,e. Đối chiếu biến động vốn chủ sở hữu,Đơn vị tính: VND,,,,,,
Khoản mục,Khoản mục,Khoản mục,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi ích cổ đông không kiểm soát,Lợi nhuận sau thuế chưa phân phối,Tổng,,,,,,
Số dư tại ngày 01/01/2018,Khoản mục > Số dư tại ngày 01/01/2018,Số dư tại ngày 01/01/2018,2.510.589.130.000,85.174.473.675,100.830.835.329,15.932.409.666,514.859.968.150,3.227.386.816.820,2510589130000.0,85174473675.0,100830835329.0,15932409666.0,514859968150.0,3227386816820.0
Tăng trong năm trước,Khoản mục > Tăng trong năm trước,Tăng trong năm trước,175.730.520.000,-,14.876.800.000,-,77.622.838.717,268.230.158.717,175730520000.0,,14876800000.0,,77622838717.0,268230158717.0
Tăng vốn trong năm trước,Khoản mục > Tăng vốn trong năm trước,Tăng vốn trong năm trước,175.730.520.000,-,14.876.800.000,-,-,190.607.320.000,175730520000.0,,14876800000.0,,,190607320000.0
Lãi trong năm trước,Khoản mục > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,77.235.880.810,77.235.880.810,,,,,77235880810.0,77235880810.0
Tăng khác,Khoản mục > Tăng khác,Tăng khác,-,-,-,-,386.957.907,386.957.907,,,,,386957907.0,386957907.0
Giảm trong năm trước,Khoản mục > Giảm trong năm trước,Giảm trong năm trước,-,186.422.489,-,11.817.912.168,319.408.776.129,331.413.110.786,,186422489.0,,11817912168.0,319408776129.0,331413110786.0
Trích lập các quỹ,Khoản mục > Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,17.851.800.000,17.851.800.000,,,,,17851800000.0,17851800000.0
Lỗ trong năm trước,Khoản mục > Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,11.555.542.601,,11.555.542.601,,,,11555542601.0,,11555542601.0
Phân phối lợi nhuận,Khoản mục > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,261.660.000,301.259.976.500,301.521.636.500,,,,261660000.0,301259976500.0,301521636500.0
Giảm khác,Khoản mục > Giảm khác,Giảm khác,-,186.422.489,-,709.567,296.999.629,484.131.685,,186422489.0,,709567.0,296999629.0,484131685.0
Số dư tại ngày 31/12/2018,Khoản mục > Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,2.686.319.650.000,84.988.051.186,115.707.635.329,4.114.497.498,273.074.030.738,3.164.203.864.752,2686319650000.0,84988051186.0,115707635329.0,4114497498.0,273074030738.0,3164203864752.0
Tăng trong năm,Khoản mục > Tăng trong năm,Tăng trong năm,-,-,3.861.000.000,-,60.486.032.917,64.347.032.917,,,3861000000.0,,60486032917.0,64347032917.0
Tăng vốn trong năm nay,Khoản mục > Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,3.861.000.000,-,-,3.861.000.000,,,3861000000.0,,,3861000000.0
Lãi trong năm nay,Khoản mục > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,53.587.677.572,53.587.677.572,,,,,53587677572.0,53587677572.0
Tăng khác,Khoản mục > Tăng khác,Tăng khác,-,-,-,-,6.898.355.345,6.898.355.345,,,,,6898355345.0,6898355345.0
Giảm trong năm,Khoản mục > Giảm trong năm,Giảm trong năm,-,66.885.197,-,8.925.459.503,4.633.000.000,13.625.344.700,,66885197.0,,8925459503.0,4633000000.0,13625344700.0
Phân phối lợi nhuận,Khoản mục > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,,4.633.000.000,4.633.000.000,,,,,4633000000.0,4633000000.0
Lỗ trong năm nay,Khoản mục > Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,8.925.459.503,,8.925.459.503,,,,8925459503.0,,8925459503.0
Giảm khác,Khoản mục > Giảm khác,Giảm khác,-,66.885.197,-,-,,66.885.197,,66885197.0,,,,66885197.0
Số dư tại ngày 31/12/2019,Khoản mục > Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,2.686.319.650.000,84.921.165.989,119.568.635.329,(4.810.962.005),328.927.063.655,3.214.925.552.968,2686319650000.0,84921165989.0,119568635329.0,-4810962005.0,328927063655.0,3214925552968.0
