row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2019VND,01/01/2019VND,numeric__MS,numeric__TM,numeric__31/12/2019VND,numeric__01/01/2019VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,2.311.130.883.461,2.117.560.373.052,100.0,,2311130883461.0,2117560373052.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,146.076.986.910,142.526.664.337,110.0,51.0,146076986910.0,142526664337.0
1. Tiền,1. Tiền,1. Tiền,111,,115.602.160.741,45.772.170.869,111.0,,115602160741.0,45772170869.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,30.474.826.169,96.754.493.468,112.0,,30474826169.0,96754493468.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,61.403.931.812,60.399.980.583,120.0,52.0,61403931812.0,60399980583.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,61.403.931.812,60.399.980.583,123.0,,61403931812.0,60399980583.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.851.735.542.157,1.667.038.767.749,130.0,,1851735542157.0,1667038767749.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,1.596.666.648.884,1.425.563.311.150,131.0,53.0,1596666648884.0,1425563311150.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,108.173.410.146,84.901.960.836,132.0,54.0,108173410146.0,84901960836.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.6,33.810.385.712,41.711.579.797,135.0,56.0,33810385712.0,41711579797.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,145.009.796.925,139.648.215.623,136.0,55.0,145009796925.0,139648215623.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(31.924.699.510),(24.786.299.657),137.0,,-31924699510.0,-24786299657.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,5.7,38.274.159.075,78.661.264.649,140.0,57.0,38274159075.0,78661264649.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,38.274.159.075,78.661.264.649,141.0,,38274159075.0,78661264649.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,213.640.263.507,168.933.695.734,150.0,,213640263507.0,168933695734.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,98.840.332.500,64.629.867.891,151.0,511.0,98840332500.0,64629867891.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,94.991.086.190,96.063.056.205,152.0,,94991086190.0,96063056205.0
3. Thuế và các khoản khácphải thu Nhà nước,3. Thuế và các khoản khácphải thu Nhà nước,3. Thuế và các khoản khácphải thu Nhà nước,153,5.14,19.808.844.817,8.240.771.638,153.0,514.0,19808844817.0,8240771638.0
B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,200,,8.706.869.287.306,8.713.539.788.828,200.0,,8706869287306.0,8713539788828.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,142.934.080.353,227.542.226.459,210.0,,142934080353.0,227542226459.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,5.3,83.683.500.000,167.543.789.957,211.0,53.0,83683500000.0,167543789957.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,5.5,62.400.580.353,59.998.436.502,216.0,55.0,62400580353.0,59998436502.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,,(3.150.000.000),-,219.0,,-3150000000.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,5.762.835.154.589,2.913.206.723.089,220.0,,5762835154589.0,2913206723089.0
