row_label_raw,row_label_full,CHỈ TIÊU,MS,TM,Năm 2019VND,Năm 2018VND,numeric__MS,numeric__TM,numeric__Năm 2019VND,numeric__Năm 2018VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,72.884.013.080,94.087.707.123,1.0,,72884013080.0,94087707123.0
Điều chỉnh cho các khoản,I. Lưu chuyển tiền từ hoạt động kinh doanh > Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,370.491.618.875,238.690.394.890,,,370491618875.0,238690394890.0
- Khấu hao TSCĐ và BĐSĐT,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Khấu hao TSCĐ và BĐSĐT,- Khấu hao TSCĐ và BĐSĐT,02,,221.953.611.971,179.118.367.127,2.0,,221953611971.0,179118367127.0
- Các khoản dự phòng,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản dự phòng,- Các khoản dự phòng,03,,10.288.399.853,21.401.049.657,3.0,,10288399853.0,21401049657.0
"- Lãi, lỗ từ hoạt động đầu tư","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(117.599.789.579),(101.340.450.580),5.0,,-117599789579.0,-101340450580.0
- Chi phí lãi vay,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Chi phí lãi vay,- Chi phí lãi vay,06,,255.849.396.630,139.511.428.686,6.0,,255849396630.0,139511428686.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,08,,443.375.631.955,332.778.102.013,8.0,,443375631955.0,332778102013.0
"- Tăng, giảm các khoản phải thu","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,386.551.985.140,28.897.667.841,9.0,,386551985140.0,28897667841.0
"- Tăng, giảm hàng tồn kho","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,40.387.105.574,(30.239.412.020),10.0,,40387105574.0,-30239412020.0
