row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,31/12/2019 > Giá gốc > 66.403.931.812,31/12/2019 > Giá trị ghi sổ > 66.403.931.812,31/12/2019 > Giá gốc > 65.399.980.583,01/01/2019 > Giá trị ghi sổ > 65.399.980.583,numeric__31/12/2019 > Giá gốc > 66.403.931.812,numeric__31/12/2019 > Giá trị ghi sổ > 66.403.931.812,numeric__31/12/2019 > Giá gốc > 65.399.980.583,numeric__01/01/2019 > Giá trị ghi sổ > 65.399.980.583
Ngắn hạn,Ngắn hạn,Ngắn hạn,61.403.931.812,61.403.931.812,60.399.980.583,60.399.980.583,61403931812.0,61403931812.0,60399980583.0,60399980583.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,61.403.931.812,61.403.931.812,60.399.980.583,60.399.980.583,61403931812.0,61403931812.0,60399980583.0,60399980583.0
Dải hạn,Dải hạn,Dải hạn,5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0,5000000000.0,5000000000.0
Trái phiếu,Trái phiếu,Trái phiếu,5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0,5000000000.0,5000000000.0
,,,,,31/12/2019,01/01/2019,,,,
,,,,,VND,VND,,,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,,472.364.965.951,454.658.137.557,,,472364965951.0,454658137557.0
Tổng công ty Thắng Long - CTCP,Tổng công ty Thắng Long - CTCP,Tổng công ty Thắng Long - CTCP,,,246.150.001.404,239.266.889.034,,,246150001404.0,239266889034.0
Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,,,75.107.834.766,73.732.029.980,,,75107834766.0,73732029980.0
Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,,,17.256.748.882,16.620.220.566,,,17256748882.0,16620220566.0
Công ty CP Tasco Thắng Long,Công ty CP Tasco Thắng Long,Công ty CP Tasco Thắng Long,,,1.776.452.142,1.779.000.875,,,1776452142.0,1779000875.0
Công ty CP D - Tech,Công ty CP D - Tech,Công ty CP D - Tech,,,1.459.997.102,1.459.997.102,,,1459997102.0,1459997102.0
Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,,,130.613.931.655,121.800.000.000,,,130613931655.0,121800000000.0
