row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_6
5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,5.9 Tài sản cố định hữu hình,,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,
Khoản mục,Khoản mục,Khoản mục,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Tổng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.940.819.136,129.891.175.139,39.651.023.979,10.561.090.340,3.623.887.677.407,3.839.931.786.001,35940819136.0,129891175139.0,39651023979.0,10561090340.0,3623887677407.0,3839931786001.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,330.916.000,-,-,2.937.954.748.441,2.938.285.664.441,,330916000.0,,,2937954748441.0,2938285664441.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,330.916.000,-,-,-,330.916.000,,330916000.0,,,,330916000.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,-,-,2.937.954.748.441,2.937.954.748.441,,,,,2937954748441.0,2937954748441.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,-,5.897.437.329,-,775.020.590,6.672.457.919,,,5897437329.0,,775020590.0,6672457919.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,5.897.437.329,-,-,5.897.437.329,,,5897437329.0,,,5897437329.0
