row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Phạm Quang Dũng,Phạm Quang Dũng,Phạm Quang Dũng,Chủ tịch HĐQT,
Phạm Thị Chi,Phạm Thị Chi,Phạm Thị Chi,Thành viên HĐQT,
Trần Thị Thanh Tân,Trần Thị Thanh Tân,Trần Thị Thanh Tân,Thành viên HĐQT,
Trần Hải Yến,Trần Hải Yến,Trần Hải Yến,Thành viên HĐQT,
Nguyễn Viết Tân,Nguyễn Viết Tân,Nguyễn Viết Tân,Thành viên HĐQT - Tổng Giám đốc,
Đỗ Thanh Hương,Đỗ Thanh Hương,Đỗ Thanh Hương,Thành viên HĐQT,
Nguyễn Dĩnh Siêu,Nguyễn Dĩnh Siêu,Nguyễn Dĩnh Siêu,Phó Tổng Giám đốc,
Khuất Trung Thắng,Khuất Trung Thắng,Khuất Trung Thắng,Phó Tổng Giám đốc,
Trần Thanh Long,Trần Thanh Long,Trần Thanh Long,Người có liên quan với thành viên HĐQT,
Phạm Thị Nhài,Phạm Thị Nhài,Phạm Thị Nhài,Người có liên quan với thành viên HĐQT,
Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,Công ty liên kết,
Công ty Cổ phần D-Tech,Công ty Cổ phần D-Tech,Công ty Cổ phần D-Tech,Công ty liên kết,
Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,Công ty liên kết,
Tổng Công ty Thăng Long – CTCP,Tổng Công ty Thăng Long – CTCP,Tổng Công ty Thăng Long – CTCP,Công ty liên kết,
Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty liên kết,
