row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Số cókhả năng trả nợ,31/12/2019 > Giá trị_1,01/01/2019 > Số cókhả năng trả nợ,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số cókhả năng trả nợ,numeric__31/12/2019 > Giá trị_1,numeric__01/01/2019 > Số cókhả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,518.890.173.739,518.890.173.739,521.030.972.181,521.030.972.181,518890173739.0,518890173739.0,521030972181.0,521030972181.0
Công ty Cổ phầnXây dựngNASACO,Công ty Cổ phầnXây dựngNASACO,Công ty Cổ phầnXây dựngNASACO,10.623.356.771,10.623.356.771,13.183.813.420,13.183.813.420,10623356771.0,10623356771.0,13183813420.0,13183813420.0
Công ty CP Sông Hồng,Công ty CP Sông Hồng,Công ty CP Sông Hồng,17.465.589.000,17.465.589.000,-,-,17465589000.0,17465589000.0,,
Công ty CP xây dựng giao thôngYên Bái,Công ty CP xây dựng giao thôngYên Bái,Công ty CP xây dựng giao thôngYên Bái,24.625.755.821,24.625.755.821,24.625.755.821,24.625.755.821,24625755821.0,24625755821.0,24625755821.0,24625755821.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,139.313.689.366,139.313.689.366,80.743.044.059,80.743.044.059,139313689366.0,139313689366.0,80743044059.0,80743044059.0
Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,5.850.006.218,5.850.006.218,14.131.569.995,14.131.569.995,5850006218.0,5850006218.0,14131569995.0,14131569995.0
Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,6.255.364.110,6.255.364.110,15.702.194.840,15.702.194.840,6255364110.0,6255364110.0,15702194840.0,15702194840.0
Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,3.055.942.821,3.055.942.821,5.423.213.078,5.423.213.078,3055942821.0,3055942821.0,5423213078.0,5423213078.0
Công ty cổ phần công nghệ Tiên Phong,Công ty cổ phần công nghệ Tiên Phong,Công ty cổ phần công nghệ Tiên Phong,67.545.900.964,67.545.900.964,36.949.569.230,36.949.569.230,67545900964.0,67545900964.0,36949569230.0,36949569230.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,35.348.592.985,35.348.592.985,27.669.454.985,27.669.454.985,35348592985.0,35348592985.0,27669454985.0,27669454985.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,208.805.975.683,208.805.975.683,302.602.356.753,302.602.356.753,208805975683.0,208805975683.0,302602356753.0,302602356753.0
Tổng,Tổng,Tổng,518.890.173.739,518.890.173.739,521.030.972.181,521.030.972.181,518890173739.0,518890173739.0,521030972181.0,521030972181.0
Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),139.931.657.971,139.931.657.971,81.361.012.664,81.361.012.664,139931657971.0,139931657971.0,81361012664.0,81361012664.0
