row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2019VND,Giá trị ghi số > 01/01/2019VND,numeric__Giá trị ghi số > 31/12/2019VND,numeric__Giá trị ghi số > 01/01/2019VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.076.986.910,142.526.664.337,146076986910.0,142526664337.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.852.685.826.652,1.767.967.453.575,1852685826652.0,1767967453575.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,33.810.385.712,41.711.579.797,33810385712.0,41711579797.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,61.403.931.812,60.399.980.583,61403931812.0,60399980583.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,29.130.000.000,29.130.000.000,29130000000.0,29130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,2.123.107.131.086,2.041.735.678.292,2123107131086.0,2041735678292.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.885.398.607.463,1.806.902.660.534,1885398607463.0,1806902660534.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,112.764.730.938,74.169.859.290,112764730938.0,74169859290.0
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,5.600.278.317.865,5.492.547.000.413,5600278317865.0,5492547000413.0
Tổng,Công nợ tài chính > Tổng,Tổng,7.598.441.656.266,7.373.619.520.237,7598441656266.0,7373619520237.0
