row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2019VND > 112.326.415.006,Năm 2018VND > 147.091.331.858,numeric__Năm 2019VND > 112.326.415.006,numeric__Năm 2018VND > 147.091.331.858
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,42.518.762.413,46.898.890.813,42518762413.0,46898890813.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,208.808.104,758.954.047,208808104.0,758954047.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,773.383.149,2.006.711.574,773383149.0,2006711574.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.704.299.911,8.809.149.914,8704299911.0,8809149914.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",225.748.724,561.495.831,225748724.0,561495831.0
Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,10.306.109.853,21.625.799.657,10306109853.0,21625799657.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,33.042.521.576,35.575.412.589,33042521576.0,35575412589.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,16.546.781.276,30.854.917.433,16546781276.0,30854917433.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,15.021.305.630,33.609.432.018,15021305630.0,33609432018.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,5.094.620.201,4.073.975.500,5094620201.0,4073975500.0
"Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì",1.205.000,3.525.000,1205000.0,3525000.0
"Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",1.670.044.789,2.158.430.934,1670044789.0,2158430934.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,-,82.020.176,,82020176.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.649.894.932,7.688.813.956,4649894932.0,7688813956.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,3.605.540.708,19.602.666.452,3605540708.0,19602666452.0
Tổng,Tổng,Tổng,127.347.720.636,180.700.763.876,127347720636.0,180700763876.0
