row_label_raw,row_label_full,31/12/2019,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__CộngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.076.986.910,-,146.076.986.910,146076986910.0,,146076986910.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.709.751.746.299,142.934.080.353,1.852.685.826.652,1709751746299.0,142934080353.0,1852685826652.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,33.810.385.712,-,33.810.385.712,33810385712.0,,33810385712.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,61.403.931.812,-,61.403.931.812,61403931812.0,,61403931812.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,29.130.000.000,29.130.000.000,,29130000000.0,29130000000.0
01/01/2019,01/01/2019,01/01/2019,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,,,
Tiền và các khoản tương đương tiền,01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,142.526.664.337,-,142.526.664.337,142526664337.0,,142526664337.0
Phải thu khách hàng và phải thu khác,01/01/2019 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.540.425.227.116,227.542.226.459,1.767.967.453.575,1540425227116.0,227542226459.0,1767967453575.0
Các khoản cho vay,01/01/2019 > Các khoản cho vay,Các khoản cho vay,41.711.579.797,-,41.711.579.797,41711579797.0,,41711579797.0
Đầu tư ngắn hạn,01/01/2019 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,60.399.980.583,-,60.399.980.583,60399980583.0,,60399980583.0
Đầu tư dài hạn,01/01/2019 > Đầu tư dài hạn,Đầu tư dài hạn,-,29.130.000.000,29.130.000.000,,29130000000.0,29130000000.0
