row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2019VND,Năm 2018VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2019VND,numeric__Năm 2018VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,5.21,1.108.269.404.228,1.147.081.921.292,,1.0,521.0,1108269404228.0,1147081921292.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,5.22,1.047.161.151,10.781.858.131,,2.0,522.0,1047161151.0,10781858131.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,1.107.222.243.077,1.136.300.063.161,,10.0,,1107222243077.0,1136300063161.0
4.,4.,4.,Giá vốn hàng bán,11,5.23,764.741.055.727,824.462.250.808,,11.0,523.0,764741055727.0,824462250808.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10 - 11),20,,342.481.187.350,311.837.812.353,,20.0,,342481187350.0,311837812353.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,5.24,104.740.431.744,99.074.434.595,,21.0,524.0,104740431744.0,99074434595.0
7.,7.,7.,Chi phí tài chính,22,5.25,257.193.036.441,142.135.319.720,,22.0,525.0,257193036441.0,142135319720.0
,,,- Trong đó: Chi phí lãi vay,23,,255.849.396.630,139.511.428.686,,23.0,,255849396630.0,139511428686.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,12.859.357.835,2.266.015.985,,24.0,,12859357835.0,2266015985.0
9.,9.,9.,Chi phí bán hàng,25,5.26,15.021.305.630,33.609.432.018,,25.0,526.0,15021305630.0,33609432018.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,5.26,112.326.415.006,147.091.331.858,,26.0,526.0,112326415006.0,147091331858.0
,,,Lợi nhuận thuần từ hoạt động,,,,,,,,,
11.,11.,11.,kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},30,,75.540.219.852,90.342.179.337,,30.0,,75540219852.0,90342179337.0
12.,12.,12.,Thu nhập khác,31,5.27,4.995.398.468,11.482.512.248,,31.0,527.0,4995398468.0,11482512248.0
13.,13.,13.,Chi phí khác,32,5.28,7.651.605.240,7.736.984.462,,32.0,528.0,7651605240.0,7736984462.0
14.,14.,14.,Lợi nhuận khác (40 = 31 - 32),40,,(2.656.206.772),3.745.527.786,,40.0,,-2656206772.0,3745527786.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,72.884.013.080,94.087.707.123,,50.0,,72884013080.0,94087707123.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,5.29,28.221.795.011,28.407.368.914,,51.0,529.0,28221795011.0,28407368914.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50 - 51 - 52),60,,44.662.218.069,65.680.338.209,,60.0,,44662218069.0,65680338209.0
19.,19.,19.,Lợi nhuận sau thuế của cổ đông của công ty mẹ,61,,53.587.677.572,77.235.880.810,,61.0,,53587677572.0,77235880810.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(8.925.459.503),(11.555.542.601),,62.0,,-8925459503.0,-11555542601.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,5.30,"212,43","306,17",,70.0,530.0,212.43,306.17
