row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,457.606.051.440,5.872.135.809,50.292.765.336,28.322.626.221,99.000.000,542.192.578.806,457606051440.0,5872135809.0,50292765336.0,28322626221.0,99000000.0,542192578806.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.994.173.574,-,10.493.626.809,-,13.487.800.383,,2994173574.0,,10493626809.0,,13487800383.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),25.229.038.713,10.914.220.240,-,-,-,36.143.258.953,25229038713.0,10914220240.0,,,,36143258953.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(15.166.727.273),-,-,(15.166.727.273),,,-15166727273.0,,,-15166727273.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,482.835.090.153,19.780.529.623,35.126.038.063,38.816.253.030,99.000.000,576.656.910.869,482835090153.0,19780529623.0,35126038063.0,38816253030.0,99000000.0,576656910869.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,(15.633.376.289),(4.041.095.431),(23.902.072.064),(13.022.820.807),(99.000.000),(56.698.364.591),-15633376289.0,-4041095431.0,-23902072064.0,-13022820807.0,-99000000.0,-56698364591.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(10.672.117.617),(890.263.960),(6.906.580.378),(5.869.925.350),-,(24.338.887.305),-10672117617.0,-890263960.0,-6906580378.0,-5869925350.0,,-24338887305.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,5.288.237.408,-,-,5.288.237.408,,,5288237408.0,,,5288237408.0
Tại ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,(26.305.493.906),(4.931.359.391),(25.520.415.034),(18.892.746.157),(99.000.000),(75.749.014.488),-26305493906.0,-4931359391.0,-25520415034.0,-18892746157.0,-99000000.0,-75749014488.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,441.972.675.151,1.831.040.378,26.390.693.272,15.299.805.414,-,485.494.214.215,441972675151.0,1831040378.0,26390693272.0,15299805414.0,,485494214215.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,456.529.596.247,14.849.170.232,9.605.623.029,19.923.506.873,-,500.907.896.381,456529596247.0,14849170232.0,9605623029.0,19923506873.0,,500907896381.0
