row_label_raw,row_label_full,Công ty Có phân Điện tử và Dịch vụ Công nghiệpSải Gòn,7.520.000.000,35.900.000.000,numeric__7.520.000.000,numeric__35.900.000.000
Công ty TNHH Bất động sản Khải Hưng,Công ty TNHH Bất động sản Khải Hưng,Công ty TNHH Bất động sản Khải Hưng,-,130.240.000.000,,130240000000.0
Công ty TNHH Đầu tư và Phát triển Bất động sảnNova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sảnNova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sảnNova Phúc Nguyên,-,50.511.600.222,,50511600222.0
Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,-,8.500.000.000,,8500000000.0
,,,7.520.000.000,225.151.600.222,7520000000.0,225151600222.0
