row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,309.950.783.731,1.006.049.946.363,1.316.000.730.094,309950783731.0,1006049946363.0,1316000730094.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,2.191.850.226,-,2.191.850.226,2191850226.0,,2191850226.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.130.029.568,-,2.130.029.568,2130029568.0,,2130029568.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,314.272.663.525,1.006.049.946.363,1.320.322.609.888,314272663525.0,1006049946363.0,1320322609888.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,(23.011.023.961),-,(23.011.023.961),-23011023961.0,,-23011023961.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.127.393.522),-,(6.127.393.522),-6127393522.0,,-6127393522.0
Tại ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,(29.138.417.483),-,(29.138.417.483),-29138417483.0,,-29138417483.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,286.939.759.770,1.006.049.946.363,1.292.989.706.133,286939759770.0,1006049946363.0,1292989706133.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,285.134.246.042,1.006.049.946.363,1.291.184.192.405,285134246042.0,1006049946363.0,1291184192405.0
