row_label_raw,row_label_full,col_0,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Phân loại lại VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chỉ phí phát hành trái phiếu VND,Số dư cuối năm VND,numeric__Số dư đầu năm VND,numeric__Nhận tiền vay VND,numeric__Chênh lệch tỷ giá VND,numeric__Phân loại lại VND,numeric__Vay dài hạn đến hạn trả VND,numeric__Trả nợ vay/phân bổ chỉ phí phát hành trái phiếu VND,numeric__Số dư cuối năm VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),901.177.514.763,342.976.869.652,(652.500.000),-,100.546.427.908,(900.790.371.105),443.257.941.218,901177514763.0,342976869652.0,-652500000.0,,100546427908.0,-900790371105.0,443257941218.0
Vay bên liên quan (**) (Thuyết minh 39(b)),Vay bên liên quan (**) (Thuyết minh 39(b)),Vay bên liên quan (**) (Thuyết minh 39(b)),1.063.545.777.805,-,-,-,-,(1.063.545.777.805),-,1063545777805.0,,,,,-1063545777805.0,
Vay bên thứ ba (***),Vay bên thứ ba (***),Vay bên thứ ba (***),1.593.312.500.000,2.325.000.000.000,(4.537.500.000),(464.900.000.000),2.397.812.500.000,(3.448.875.000.000),2.397.812.500.000,1593312500000.0,2325000000000.0,-4537500000.0,-464900000000.0,2397812500000.0,-3448875000000.0,2397812500000.0
Trái phiếu (****),Trái phiếu (****),Trái phiếu (****),5.041.840.000.000,600.000.000.000,-,-,1.346.000.000.000,(5.041.840.000.000),1.946.000.000.000,5041840000000.0,600000000000.0,,,1346000000000.0,-5041840000000.0,1946000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(18.541.998.854),(8.244.320.000),-,-,(7.847.875.965),25.790.010.174,(8.844.184.645),-18541998854.0,-8244320000.0,,,-7847875965.0,25790010174.0,-8844184645.0
,,,8.581.333.793.714,3.259.732.549.652,(5.190.000.000),(464.900.000.000),3.836.511.051.943,(10.429.261.138.736),4.778.226.256.573,8581333793714.0,3259732549652.0,-5190000000.0,-464900000000.0,3836511051943.0,-10429261138736.0,4778226256573.0
(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,,,,,,,
,,,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Phân loại lại VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chỉ phí phát hành trái phiếu VND,Số dư cuối năm VND,,,,,,,
Vay ngân hàng (*),(b) Dải hạn > Vay ngân hàng (*),Vay ngân hàng (*),317.625.000.000,1.162.380.000.000,(900.000.000),-,(100.546.427.908),-,1.378.558.572.092,317625000000.0,1162380000000.0,-900000000.0,,-100546427908.0,,1378558572092.0
Vay bên thứ ba (***),(b) Dải hạn > Vay bên thứ ba (***),Vay bên thứ ba (***),3.834.687.500.000,1.393.200.000.000,(500.000.000),464.900.000.000,(2.397.812.500.000),-,3.294.475.000.000,3834687500000.0,1393200000000.0,-500000000.0,464900000000.0,-2397812500000.0,,3294475000000.0
Trái phiếu (****),(b) Dải hạn > Trái phiếu (****),Trái phiếu (****),7.801.555.000.000,1.910.000.000.000,(5.975.000.000),-,(1.346.000.000.000),(400.000.000.000),7.959.580.000.000,7801555000000.0,1910000000000.0,-5975000000.0,,-1346000000000.0,-400000000000.0,7959580000000.0
Chi phí phát hành trái phiếu,(b) Dải hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(312.286.329.873),(36.291.681.904),-,-,7.847.875.965,84.531.338.070,(256.198.797.742),-312286329873.0,-36291681904.0,,,7847875965.0,84531338070.0,-256198797742.0
,,,11.641.581.170.127,4.429.288.318.096,(7.375.000.000),464.900.000.000,(3.836.511.051.943),(315.468.661.930),12.376.414.774.350,11641581170127.0,4429288318096.0,-7375000000.0,464900000000.0,-3836511051943.0,-315468661930.0,12376414774350.0
