row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bàn quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bàn quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,68.582.465.587,22.950.078.610,91.532.544.197,68582465587.0,22950078610.0,91532544197.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,11.093.259.845,11.093.259.845,,11093259845.0,11093259845.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),119.702.360,65.643.483.220,65.763.185.580,119702360.0,65643483220.0,65763185580.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,68.702.167.947,99.686.821.675,168.388.989.622,68702167947.0,99686821675.0,168388989622.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,(10.010.464.711),(10.010.464.711),,-10010464711.0,-10010464711.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(16.750.046.411),(16.750.046.411),,-16750046411.0,-16750046411.0
Tại ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,-,(26.760.511.122),(26.760.511.122),,-26760511122.0,-26760511122.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,68.582.465.587,12.939.613.899,81.522.079.486,68582465587.0,12939613899.0,81522079486.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,68.702.167.947,72.926.310.553,141.628.478.500,68702167947.0,72926310553.0,141628478500.0
