row_label_raw,row_label_full,4,ĐẦU TƯ TÀI CHÍNH (tiếp theo),ĐẦU TƯ TÀI CHÍNH (tiếp theo)_1,ĐẦU TƯ TÀI CHÍNH (tiếp theo)_2,numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo),numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo)_1,numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo)_2
(b),(b),(b),"Đầu tư vào công ty con, công ty liên kết (tiếp theo)","Đầu tư vào công ty con, công ty liên kết (tiếp theo)","Đầu tư vào công ty con, công ty liên kết (tiếp theo)",,,
(i),(i),(i),Đầu tư vào công ty con (tiếp theo),Đầu tư vào công ty con (tiếp theo),Đầu tư vào công ty con (tiếp theo),,,
STT,STT,STT,Tên,Địa điểm,Ngành nghề,,,
16,16,16,Công ty TNHH Nova Sasco,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
17,17,17,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
18,18,18,Công ty TNHH Nova Nam Á,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
19,19,19,Công ty Cổ phần Nova Princess Residence,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
20,20,20,Công ty TNHH Đầu tư và Bất động sản Tường Minh,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
21,21,21,Công ty TNHH Đầu tư và Phát triển Địa ốc Gia Huy,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
22,22,22,Công ty Cổ phần Phát triển Nhà ở và Hạ tầng Sài Gòn,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
23,23,23,Công ty TNHH Nova Sagel,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
24,24,24,Công ty TNHH Nova An Phú,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
25,25,25,Công ty Cổ phần Ngói Nhà Mega,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
26,26,26,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyễn,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
27,27,27,Công ty Cổ phần Nova Festival,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
28,28,28,Công ty TNHH Nova Property Management,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
29,29,29,Công ty TNHH Nova Lucky Palace,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
30,30,30,Công ty Cổ phần Đầu tư Bất động sản Phong Điền,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
