row_label_raw,row_label_full,DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_1,DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_2,DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_3,numeric__DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_1,numeric__DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_2,numeric__DẠC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo)_3
STT,STT,STT,Tên,Địa điểm,Hoạt động chính,,,
,,,Công ty con glán tiếp (tiếp theo),,,,,
26,26,26,Công ty Cổ phần Địa ốc Nhật Hoa,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
27,27,27,Công ty Cổ phần Dịch vụ Du lịch Hòa Thắng,Tỉnh Bình Thuận,Dịch vụ lưu trú ngắn ngày,,,
28,28,28,Công ty TNHH Đầu tư và Phát triển Phước Long,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
29,29,29,Công ty TNHH Carava Resort,Tỉnh Khánh Hòa,Kinh doanh bất động sản,,,
30,30,30,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
31,31,31,Công ty Cổ phần Đầu tư Thư Minh Nguyễn,Tỉnh Bình Thuận,Dịch vụ lưu trú ngắn ngày,,,
32,32,32,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
33,33,33,Công ty TNHH Bất động sản Gia Phú,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
34,34,34,Công ty Cổ phần Đầu tư Bất động sản Vương Gia,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
35,35,35,Công ty TNHH Mega Tie,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
36,36,36,Công ty Cổ phần Cao ốc Phương Đông,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
37,37,37,Công ty TNHH Merufa-Nova,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
38,38,38,Công ty Cổ phần Đầu tư Bất động sản Trường Thạnh,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
39,39,39,Công ty TNHH The Forest City,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
40,40,40,Công ty TNHH Đầu tư Phát triển Bất động sản An Phú Đông,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
41,41,41,Công ty TNHH Vườn Bách Thảo Hồ Trâm,Tỉnh Bà Rịa - Vũng Tàu,"Hoạt động các vườn báchthảo, bách thú và khu bảotôn tự nhiên",,,
,,,Công ty liên kết giản tiếp:,,,,,
1,1,1,Công ty Cổ phần Thạnh Mỹ Lợi (*),TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
2,2,2,Công ty Cổ phần Đầu tư SQN,TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
3,3,3,Công ty TNHH Sài Gòn Gôn (**),TP. Hồ Chí Minh,Kinh doanh bất động sản,,,
