row_label_raw,row_label_full,4,ĐẦU TƯ TÀI CHÍNH (tiếp theo),ĐẦU TƯ TÀI CHÍNH (tiếp theo)_1,ĐẦU TƯ TÀI CHÍNH (tiếp theo)_2,numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo),numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo)_1,numeric__ĐẦU TƯ TÀI CHÍNH (tiếp theo)_2
(b),(b),(b),"Đầu tư vào công ty con, công ty liên kết (tiếp theo)","Đầu tư vào công ty con, công ty liên kết (tiếp theo)","Đầu tư vào công ty con, công ty liên kết (tiếp theo)",,,
(i),(i),(i),Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,
STT,STT,STT,Tên,Địa điểm,Ngành nghề,,,
1,1,1,Công ty Cổ phần Địa ốc No Va Mỹ Đình,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
2,2,2,Công ty TNHH Bất động sản Khải Hưng,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
3,3,3,Công ty TNHH No Va Thảo Điền,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
4,4,4,Công ty TNHH Bất động sản Bách Hợp,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
5,5,5,Công ty Cổ phần Nova Hospitality,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
6,6,6,Công ty Cổ phần Đầu tư Địa ốc No Va,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
7,7,7,Công ty TNHH Đầu tư Địa ốcThành Nhơn,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
8,8,8,Công ty TNHH Bất động sản Gia Đức,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
9,9,9,Công ty Cổ phần Nova Nippon,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
10,10,10,Công ty TNHH Đầu tư và Phát triểnBất động sản Sun City (****),TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
11,11,11,Công ty Cổ phần Cảng Phú Định,TP. Hồ Chí Minh,"Hoạt động hỗ trợ liên quanđền vận tải,kinh doanhbất động sản",,,
12,12,12,Công ty TNHH Nova Rivergate,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
13,13,13,Công ty Cổ phần Địa ốc Thành Nhơn,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
14,14,14,Công ty Cổ phần The Prince Residence,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
15,15,15,Công ty Cổ phần Đầu tư Ngọc Linh Hoa,TP. Hồ Chí Minh,Kinh doanhbất động sản,,,
